Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:39:28,Darkside,Hunter,Male,Ramshorned Trolloc,16,8,9,15,17
2013-09-19 18:39:27,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,11,16,15
2013-09-19 18:39:27,Darkside,Hunter,Male,Ramshorned Trolloc,19,7,11,15,14
2013-09-19 18:39:27,Darkside,Hunter,Male,Ramshorned Trolloc,18,9,8,15,16
2013-09-19 18:39:26,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,11,16,18
2013-09-19 18:39:25,Darkside,Hunter,Male,Ramshorned Trolloc,17,7,8,15,18
2013-09-19 18:39:25,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,11,16,18
2013-09-19 18:39:24,Darkside,Hunter,Male,Ramshorned Trolloc,16,8,12,15,18
2013-09-19 18:39:24,Darkside,Hunter,Male,Ramshorned Trolloc,17,11,11,13,14
2013-09-19 18:39:23,Darkside,Hunter,Male,Ramshorned Trolloc,16,9,8,17,16
2013-09-19 18:39:21,Darkside,Hunter,Male,Ramshorned Trolloc,14,8,11,15,18
2013-09-19 18:39:21,Darkside,Hunter,Male,Ramshorned Trolloc,13,8,10,16,18
2013-09-19 18:39:20,Darkside,Hunter,Male,Ramshorned Trolloc,17,9,8,15,18
2013-09-19 18:39:20,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,10,13,17
2013-09-19 18:39:19,Darkside,Hunter,Male,Ramshorned Trolloc,13,8,12,16,17
2013-09-19 18:39:19,Darkside,Hunter,Male,Ramshorned Trolloc,15,9,8,18,15
2013-09-19 18:39:18,Darkside,Hunter,Male,Ramshorned Trolloc,17,5,12,16,18
2013-09-19 18:39:18,Darkside,Hunter,Male,Ramshorned Trolloc,17,6,13,18,18
2013-09-19 18:39:17,Darkside,Hunter,Male,Ramshorned Trolloc,17,7,11,13,19
2013-09-19 18:39:17,Darkside,Hunter,Male,Ramshorned Trolloc,18,9,8,16,18
2013-09-19 18:39:16,Darkside,Hunter,Male,Ramshorned Trolloc,16,9,9,14,19
2013-09-19 18:39:16,Darkside,Hunter,Male,Ramshorned Trolloc,16,10,8,15,16
2013-09-19 18:39:15,Darkside,Hunter,Male,Ramshorned Trolloc,15,6,12,15,18
2013-09-19 18:39:15,Darkside,Hunter,Male,Ramshorned Trolloc,19,6,10,16,15
2013-09-19 18:39:13,Darkside,Hunter,Male,Ramshorned Trolloc,16,8,12,13,17
2013-09-19 18:39:13,Darkside,Hunter,Male,Ramshorned Trolloc,14,8,10,16,17
2013-09-19 18:39:13,Darkside,Hunter,Male,Ramshorned Trolloc,18,6,11,16,15
2013-09-19 18:39:12,Darkside,Hunter,Male,Ramshorned Trolloc,18,4,10,16,19
2013-09-19 18:39:12,Darkside,Hunter,Male,Ramshorned Trolloc,18,7,11,14,18
2013-09-19 18:39:11,Darkside,Hunter,Male,Ramshorned Trolloc,18,7,7,17,16
2013-09-19 18:39:11,Darkside,Hunter,Male,Ramshorned Trolloc,13,9,10,15,19
2013-09-19 18:39:11,Darkside,Hunter,Male,Ramshorned Trolloc,19,10,13,14,16
2013-09-19 18:39:10,Darkside,Hunter,Male,Ramshorned Trolloc,18,9,8,15,18
2013-09-19 18:39:09,Darkside,Hunter,Male,Ramshorned Trolloc,17,6,11,17,18
2013-09-19 18:39:09,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,8,15,17
2013-09-19 18:39:09,Darkside,Hunter,Male,Ramshorned Trolloc,16,10,9,13,17
2013-09-19 18:39:08,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,11,13,17
2013-09-19 18:39:08,Darkside,Hunter,Male,Ramshorned Trolloc,17,10,10,14,17
2013-09-19 18:39:07,Darkside,Hunter,Male,Ramshorned Trolloc,17,6,11,17,18
2013-09-19 18:39:07,Darkside,Hunter,Male,Ramshorned Trolloc,15,9,13,13,18
2013-09-19 18:39:06,Darkside,Hunter,Male,Ramshorned Trolloc,16,7,12,15,16
2013-09-19 18:39:05,Darkside,Hunter,Male,Ramshorned Trolloc,16,6,6,18,19
2013-09-19 18:39:05,Darkside,Hunter,Male,Ramshorned Trolloc,17,6,10,18,14
2013-09-19 18:39:04,Darkside,Hunter,Male,Ramshorned Trolloc,14,8,11,18,17
2013-09-19 18:39:03,Darkside,Hunter,Male,Ramshorned Trolloc,19,9,9,16,17
2013-09-19 18:39:02,Darkside,Hunter,Male,Ramshorned Trolloc,14,7,11,17,16
2013-09-19 18:39:01,Darkside,Hunter,Male,Ramshorned Trolloc,17,8,10,15,16
2013-09-19 18:39:00,Darkside,Hunter,Male,Ramshorned Trolloc,17,9,10,14,16
