Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2012-05-31 13:01:23,Darkside,Rogue,Male,Ramshorned,17,7,9,19,19
2012-05-31 13:01:22,Darkside,Rogue,Male,Ramshorned,13,9,11,16,16
2012-05-31 13:01:21,Darkside,Rogue,Male,Ramshorned,16,6,11,17,15
2012-05-31 13:01:21,Darkside,Rogue,Male,Ramshorned,15,8,11,17,18
2012-05-31 13:01:20,Darkside,Rogue,Male,Ramshorned,13,9,10,18,16
2012-05-31 13:01:19,Darkside,Rogue,Male,Ramshorned,16,7,12,15,16
2012-05-31 13:01:19,Darkside,Rogue,Male,Ramshorned,16,8,8,18,15
2012-05-31 13:01:18,Darkside,Rogue,Male,Ramshorned,14,4,10,19,18
2012-05-31 13:01:17,Darkside,Rogue,Male,Ramshorned,14,7,12,18,18
2012-05-31 13:01:16,Darkside,Rogue,Male,Ramshorned,15,9,9,18,15
2012-05-31 13:01:16,Darkside,Rogue,Male,Ramshorned,14,8,10,17,17
2012-05-31 13:01:15,Darkside,Rogue,Male,Ramshorned,16,9,7,15,19
2012-05-31 13:01:14,Darkside,Rogue,Male,Ramshorned,15,10,11,14,18
2012-05-31 13:01:14,Darkside,Rogue,Male,Ramshorned,14,7,11,19,15
2012-05-31 13:01:13,Darkside,Rogue,Male,Ramshorned,15,10,13,13,17
2012-05-31 13:01:12,Darkside,Rogue,Male,Ramshorned,13,6,11,18,18
2012-05-31 13:01:12,Darkside,Rogue,Male,Ramshorned,17,7,11,18,18
2012-05-31 13:01:11,Darkside,Rogue,Male,Ramshorned,17,6,11,17,15
2012-05-31 13:01:10,Darkside,Rogue,Male,Ramshorned,16,8,10,14,18
2012-05-31 13:01:09,Darkside,Rogue,Male,Ramshorned,15,8,10,18,19
2012-05-31 13:01:09,Darkside,Rogue,Male,Ramshorned,15,6,9,17,18
2012-05-31 13:01:08,Darkside,Rogue,Male,Ramshorned,14,5,12,19,18
2012-05-31 13:01:07,Darkside,Rogue,Male,Ramshorned,16,6,10,19,14
