Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2012-10-01 03:16:57,Darkside,Rogue,Male,Ramshorned Trolloc,17,9,8,19,18,71
2012-10-01 03:14:43,Darkside,Rogue,Male,Ramshorned Trolloc,17,7,11,15,19,69
2012-10-01 03:12:16,Darkside,Rogue,Male,Ramshorned Trolloc,14,10,11,15,19,69
2012-10-01 03:10:11,Darkside,Rogue,Male,Ramshorned Trolloc,16,7,11,16,17,67
2012-10-01 03:06:55,Darkside,Rogue,Male,Ramshorned Trolloc,16,7,12,16,16,67
2012-10-01 03:03:09,Darkside,Rogue,Male,Ramshorned Trolloc,13,7,10,17,18,65
2012-10-01 03:00:34,Darkside,Rogue,Male,Ramshorned Trolloc,16,8,13,18,19,74
2012-10-01 02:57:23,Darkside,Rogue,Male,Ramshorned Trolloc,15,8,10,17,15,65
2012-10-01 02:55:07,Darkside,Rogue,Male,Ramshorned Trolloc,17,7,11,17,17,69
2012-10-01 02:52:29,Darkside,Rogue,Male,Ramshorned Trolloc,16,5,10,17,17,65
2012-10-01 02:52:28,Darkside,Rogue,Male,Ramshorned Trolloc,16,5,10,17,17,65
2012-10-01 02:49:08,Darkside,Rogue,Male,Ramshorned Trolloc,13,7,12,19,17,68
2012-10-01 02:47:01,Darkside,Rogue,Male,Ramshorned Trolloc,17,6,8,16,18,65
2012-10-01 02:44:32,Darkside,Rogue,Male,Ramshorned Trolloc,16,9,11,14,16,66
2012-10-01 02:42:21,Darkside,Rogue,Male,Ramshorned Trolloc,17,7,11,15,15,65
2012-10-01 02:40:02,Darkside,Rogue,Male,Ramshorned Trolloc,17,5,10,15,19,66
2012-10-01 02:35:44,Darkside,Rogue,Male,Ramshorned Trolloc,17,7,8,17,18,67
