Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:04:33,Human,Channeler,Female,Murandy,12,14,18,14,12
2013-09-19 18:04:33,Human,Channeler,Female,Murandy,16,13,19,13,10
2013-09-19 18:04:32,Human,Channeler,Female,Murandy,12,17,14,17,10
2013-09-19 18:04:31,Human,Channeler,Female,Murandy,15,18,19,15,12
2013-09-19 18:04:31,Human,Channeler,Female,Murandy,12,18,18,14,10
2013-09-19 18:04:31,Human,Channeler,Female,Murandy,12,16,19,14,14
2013-09-19 18:04:30,Human,Channeler,Female,Murandy,12,18,19,13,12
2013-09-19 18:04:30,Human,Channeler,Female,Murandy,14,17,17,14,10
2013-09-19 18:04:29,Human,Channeler,Female,Murandy,14,18,15,14,10
2013-09-19 18:04:29,Human,Channeler,Female,Murandy,12,18,15,16,9
2013-09-19 18:04:28,Human,Channeler,Female,Murandy,13,14,19,18,10
2013-09-19 18:04:28,Human,Channeler,Female,Murandy,11,14,16,15,14
2013-09-19 18:04:27,Human,Channeler,Female,Murandy,12,14,14,18,14
2013-09-19 18:04:27,Human,Channeler,Female,Murandy,15,16,15,15,9
2013-09-19 18:04:26,Human,Channeler,Female,Murandy,16,15,15,14,10
2013-09-19 18:04:26,Human,Channeler,Female,Murandy,14,14,19,14,13
2013-09-19 18:04:26,Human,Channeler,Female,Murandy,14,14,15,14,13
2013-09-19 18:04:25,Human,Channeler,Female,Murandy,13,13,15,16,13
2013-09-19 18:04:25,Human,Channeler,Female,Murandy,11,14,15,16,14
2013-09-19 18:04:24,Human,Channeler,Female,Murandy,11,16,15,18,10
2013-09-19 18:04:24,Human,Channeler,Female,Murandy,12,15,17,14,13
2013-09-19 18:04:24,Human,Channeler,Female,Murandy,16,14,18,17,11
2013-09-19 18:04:23,Human,Channeler,Female,Murandy,12,14,15,17,14
2013-09-19 18:04:22,Human,Channeler,Female,Murandy,13,15,19,18,11
2013-09-19 18:04:22,Human,Channeler,Female,Murandy,12,18,19,17,12
2013-09-19 18:04:22,Human,Channeler,Female,Murandy,12,16,15,14,14
2013-09-19 18:04:21,Human,Channeler,Female,Murandy,11,16,15,15,13
2013-09-19 18:04:21,Human,Channeler,Female,Murandy,12,14,18,16,13
2013-09-19 18:04:20,Human,Channeler,Female,Murandy,16,13,14,18,13
2013-09-19 18:04:20,Human,Channeler,Female,Murandy,12,18,18,14,10
2013-09-19 18:04:20,Human,Channeler,Female,Murandy,11,17,17,15,10
2013-09-19 18:04:19,Human,Channeler,Female,Murandy,15,17,14,14,10
2013-09-19 18:04:18,Human,Channeler,Female,Murandy,12,13,16,17,12
2013-09-19 18:04:18,Human,Channeler,Female,Murandy,12,17,15,18,12
2013-09-19 18:04:17,Human,Channeler,Female,Murandy,16,16,19,14,10
2013-09-19 18:04:17,Human,Channeler,Female,Murandy,12,18,15,14,11
2013-09-19 18:04:16,Human,Channeler,Female,Murandy,12,14,17,16,13
2013-09-19 18:04:16,Human,Channeler,Female,Murandy,11,17,19,14,9
2013-09-19 18:04:15,Human,Channeler,Female,Murandy,16,18,17,14,11
2013-09-19 18:04:15,Human,Channeler,Female,Murandy,16,13,14,18,10
2013-09-19 18:04:14,Human,Channeler,Female,Murandy,12,14,19,18,12
2013-09-19 18:04:14,Human,Channeler,Female,Murandy,16,18,15,14,9
2013-09-19 18:04:13,Human,Channeler,Female,Murandy,15,17,16,14,9
2013-09-19 18:04:13,Human,Channeler,Female,Murandy,12,13,17,16,14
2013-09-19 18:04:13,Human,Channeler,Female,Murandy,12,16,15,18,12
2013-09-19 18:04:12,Human,Channeler,Female,Murandy,12,18,16,16,13
2013-09-19 18:04:11,Human,Channeler,Female,Murandy,14,14,18,16,10
2013-09-19 18:04:11,Human,Channeler,Female,Murandy,12,18,15,17,9
2013-09-19 18:04:11,Human,Channeler,Female,Murandy,13,16,15,14,13
2013-09-19 18:04:10,Human,Channeler,Female,Murandy,15,18,15,17,9
2013-09-19 18:04:10,Human,Channeler,Female,Murandy,12,14,16,14,14
2013-09-19 18:04:09,Human,Channeler,Female,Murandy,12,17,15,17,10
2013-09-19 18:04:09,Human,Channeler,Female,Murandy,12,14,19,16,10
2013-09-19 18:04:09,Human,Channeler,Female,Murandy,15,16,16,14,10
2013-09-19 18:04:08,Human,Channeler,Female,Murandy,12,16,19,16,10
2013-09-19 18:04:08,Human,Channeler,Female,Murandy,16,16,19,16,12
2013-09-19 18:04:07,Human,Channeler,Female,Murandy,15,14,16,13,14
2013-09-19 18:04:06,Human,Channeler,Female,Murandy,12,14,15,18,11
2013-09-19 18:04:06,Human,Channeler,Female,Murandy,11,18,18,15,9
2013-09-19 18:04:06,Human,Channeler,Female,Murandy,12,18,19,16,12
2013-09-19 18:04:05,Human,Channeler,Female,Murandy,12,18,18,14,12
2013-09-19 18:04:05,Human,Channeler,Female,Murandy,12,16,17,14,13
2013-09-19 18:04:04,Human,Channeler,Female,Murandy,12,18,15,13,12
2013-09-19 18:04:04,Human,Channeler,Female,Murandy,13,14,15,16,13
2013-09-19 18:04:03,Human,Channeler,Female,Murandy,12,13,17,15,13
2013-09-19 18:04:03,Human,Channeler,Female,Murandy,12,13,19,16,10
2013-09-19 18:04:02,Human,Channeler,Female,Murandy,15,13,17,14,12
2013-09-19 18:04:01,Human,Channeler,Female,Murandy,12,18,19,14,10
2013-09-19 18:04:01,Human,Channeler,Female,Murandy,12,14,15,18,13
2013-09-19 18:04:01,Human,Channeler,Female,Murandy,14,17,19,16,13
2013-09-19 18:04:00,Human,Channeler,Female,Murandy,14,14,15,18,10
2013-09-19 18:04:00,Human,Channeler,Female,Murandy,12,15,19,13,14
2013-09-19 18:03:59,Human,Channeler,Female,Murandy,12,17,17,14,13
2013-09-19 18:03:58,Human,Channeler,Female,Murandy,12,15,16,18,14
2013-09-19 18:03:58,Human,Channeler,Female,Murandy,15,18,15,18,10
2013-09-19 18:03:58,Human,Channeler,Female,Murandy,12,13,19,16,10
2013-09-19 18:03:57,Human,Channeler,Female,Murandy,15,14,19,16,10
2013-09-19 18:03:57,Human,Channeler,Female,Murandy,12,18,14,16,12
2013-09-19 18:03:56,Human,Channeler,Female,Murandy,13,17,15,17,13
2013-09-19 18:03:56,Human,Channeler,Female,Murandy,15,17,18,16,14
2013-09-19 18:03:56,Human,Channeler,Female,Murandy,12,18,14,18,12
2013-09-19 18:03:55,Human,Channeler,Female,Murandy,12,17,15,18,13
2013-09-19 18:03:55,Human,Channeler,Female,Murandy,14,14,19,14,10
2013-09-19 18:03:54,Human,Channeler,Female,Murandy,13,17,19,17,10
2013-09-19 18:03:54,Human,Channeler,Female,Murandy,14,14,17,14,11
2013-09-19 18:03:54,Human,Channeler,Female,Murandy,14,14,17,16,10
2013-09-19 18:03:53,Human,Channeler,Female,Murandy,14,15,18,18,9
2013-09-19 18:03:53,Human,Channeler,Female,Murandy,16,15,15,17,10
2013-09-19 18:03:52,Human,Channeler,Female,Murandy,15,14,15,17,10
2013-09-19 18:03:52,Human,Channeler,Female,Murandy,16,14,19,18,13
2013-09-19 18:03:52,Human,Channeler,Female,Murandy,14,14,15,18,9
2013-09-19 18:03:51,Human,Channeler,Female,Murandy,13,14,15,18,10
2013-09-19 18:03:50,Human,Channeler,Female,Murandy,16,17,15,14,10
2013-09-19 18:03:50,Human,Channeler,Female,Murandy,12,16,17,14,11
2013-09-19 18:03:50,Human,Channeler,Female,Murandy,11,16,18,17,10
2013-09-19 18:03:49,Human,Channeler,Female,Murandy,12,16,17,14,11
2013-09-19 18:03:49,Human,Channeler,Female,Murandy,12,14,16,14,14
2013-09-19 18:03:48,Human,Channeler,Female,Murandy,16,15,17,17,10
2013-09-19 18:03:48,Human,Channeler,Female,Murandy,16,14,15,18,10
2013-09-19 18:03:47,Human,Channeler,Female,Murandy,15,14,15,17,9
2013-09-19 18:03:47,Human,Channeler,Female,Murandy,15,14,15,18,14
2013-09-19 18:03:47,Human,Channeler,Female,Murandy,12,14,19,14,12
2013-09-19 18:03:46,Human,Channeler,Female,Murandy,15,17,15,17,10
2013-09-19 18:03:46,Human,Channeler,Female,Murandy,13,15,19,14,12
2013-09-19 18:03:45,Human,Channeler,Female,Murandy,14,18,17,16,9
2013-09-19 18:03:45,Human,Channeler,Female,Murandy,12,14,18,18,10
2013-09-19 18:03:45,Human,Channeler,Female,Murandy,16,14,18,14,14
2013-09-19 18:03:44,Human,Channeler,Female,Murandy,12,16,19,18,12
2013-09-19 18:03:44,Human,Channeler,Female,Murandy,16,14,15,13,14
2013-09-19 18:03:43,Human,Channeler,Female,Murandy,15,14,15,15,14
2013-09-19 18:03:42,Human,Channeler,Female,Murandy,13,14,16,18,13
2013-09-19 18:03:42,Human,Channeler,Female,Murandy,12,14,17,14,14
2013-09-19 18:03:41,Human,Channeler,Female,Murandy,14,14,19,14,10
2013-09-19 18:03:41,Human,Channeler,Female,Murandy,16,15,15,13,14
2013-09-19 18:03:41,Human,Channeler,Female,Murandy,13,18,15,17,10
2013-09-19 18:03:40,Human,Channeler,Female,Murandy,12,16,19,15,10
2013-09-19 18:03:40,Human,Channeler,Female,Murandy,12,16,17,13,12
2013-09-19 18:03:39,Human,Channeler,Female,Murandy,15,14,18,15,12
2013-09-19 18:03:39,Human,Channeler,Female,Murandy,16,16,19,16,10
2013-09-19 18:03:38,Human,Channeler,Female,Murandy,12,17,14,14,13
2013-09-19 18:03:38,Human,Channeler,Female,Murandy,12,17,18,14,10
2013-09-19 18:03:37,Human,Channeler,Female,Murandy,15,14,18,14,10
2013-09-19 18:03:37,Human,Channeler,Female,Murandy,12,14,17,18,9
