Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:59:12,Human,Channeler,Male,Saldaea,17,15,14,13,12
2013-09-19 18:59:11,Human,Channeler,Male,Saldaea,14,15,16,16,13
2013-09-19 18:59:11,Human,Channeler,Male,Saldaea,16,17,17,15,12
2013-09-19 18:59:11,Human,Channeler,Male,Saldaea,16,17,13,15,15
2013-09-19 18:59:10,Human,Channeler,Male,Saldaea,16,15,17,16,14
2013-09-19 18:59:09,Human,Channeler,Male,Saldaea,14,19,15,13,9
2013-09-19 18:59:08,Human,Channeler,Male,Saldaea,14,13,15,14,14
2013-09-19 18:59:08,Human,Channeler,Male,Saldaea,14,16,15,13,13
2013-09-19 18:59:07,Human,Channeler,Male,Saldaea,15,14,15,13,14
2013-09-19 18:59:07,Human,Channeler,Male,Saldaea,13,15,16,13,13
2013-09-19 18:59:07,Human,Channeler,Male,Saldaea,13,15,14,15,14
2013-09-19 18:59:06,Human,Channeler,Male,Saldaea,16,16,13,14,12
2013-09-19 18:59:05,Human,Channeler,Male,Saldaea,14,15,15,14,15
2013-09-19 18:59:05,Human,Channeler,Male,Saldaea,12,17,17,14,12
2013-09-19 18:59:04,Human,Channeler,Male,Saldaea,14,15,15,16,13
2013-09-19 18:59:03,Human,Channeler,Male,Saldaea,14,15,16,13,12
2013-09-19 18:59:02,Human,Channeler,Male,Saldaea,17,17,15,13,11
2013-09-19 18:59:02,Human,Channeler,Male,Saldaea,16,15,13,14,16
2013-09-19 18:59:01,Human,Channeler,Male,Saldaea,15,13,17,13,13
2013-09-19 18:59:01,Human,Channeler,Male,Saldaea,14,17,13,14,12
2013-09-19 18:58:59,Human,Channeler,Male,Saldaea,15,15,16,14,15
2013-09-19 18:58:58,Human,Channeler,Male,Saldaea,14,16,15,13,12
2013-09-19 18:58:58,Human,Channeler,Male,Saldaea,14,16,15,13,12
2013-09-19 18:58:57,Human,Channeler,Male,Saldaea,14,16,13,13,14
2013-09-19 18:58:57,Human,Channeler,Male,Saldaea,15,17,15,13,12
2013-09-19 18:58:56,Human,Channeler,Male,Saldaea,13,15,15,13,14
2013-09-19 18:58:56,Human,Channeler,Male,Saldaea,17,13,16,13,14
2013-09-19 18:58:55,Human,Channeler,Male,Saldaea,15,16,15,13,13
2013-09-19 18:58:55,Human,Channeler,Male,Saldaea,11,15,17,15,13
2013-09-19 18:58:54,Human,Channeler,Male,Saldaea,14,15,19,15,11
2013-09-19 18:58:54,Human,Channeler,Male,Saldaea,12,19,14,14,11
2013-09-19 18:58:53,Human,Channeler,Male,Saldaea,14,16,15,13,12
2013-09-19 18:58:53,Human,Channeler,Male,Saldaea,14,15,15,13,14
2013-09-19 18:58:52,Human,Channeler,Male,Saldaea,16,15,14,14,13
2013-09-19 18:58:52,Human,Channeler,Male,Saldaea,14,15,15,12,14
2013-09-19 18:58:51,Human,Channeler,Male,Saldaea,14,18,17,10,13
2013-09-19 18:58:51,Human,Channeler,Male,Saldaea,15,15,16,14,12
2013-09-19 18:58:50,Human,Channeler,Male,Saldaea,12,18,14,13,13
2013-09-19 18:58:50,Human,Channeler,Male,Saldaea,14,15,15,15,12
2013-09-19 18:58:50,Human,Channeler,Male,Saldaea,13,17,16,16,12
2013-09-19 18:58:49,Human,Channeler,Male,Saldaea,13,15,16,15,11
2013-09-19 18:58:49,Human,Channeler,Male,Saldaea,15,15,17,14,12
2013-09-19 18:58:48,Human,Channeler,Male,Saldaea,14,13,15,15,13
