Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 17:50:26,Human,Channeler,Male,Tarabon,15,16,17,18,14
2013-09-19 17:50:26,Human,Channeler,Male,Tarabon,16,14,14,14,14
2013-09-19 17:50:25,Human,Channeler,Male,Tarabon,14,14,15,17,11
2013-09-19 17:50:25,Human,Channeler,Male,Tarabon,13,14,18,14,14
2013-09-19 17:50:24,Human,Channeler,Male,Tarabon,12,17,14,16,12
2013-09-19 17:50:24,Human,Channeler,Male,Tarabon,13,14,14,17,13
2013-09-19 17:50:23,Human,Channeler,Male,Tarabon,13,16,17,18,10
2013-09-19 17:50:23,Human,Channeler,Male,Tarabon,16,15,15,14,12
2013-09-19 17:50:23,Human,Channeler,Male,Tarabon,11,14,15,17,13
2013-09-19 17:50:22,Human,Channeler,Male,Tarabon,13,14,19,18,10
2013-09-19 17:50:22,Human,Channeler,Male,Tarabon,14,14,15,17,10
2013-09-19 17:50:21,Human,Channeler,Male,Tarabon,15,14,18,18,10
2013-09-19 17:50:20,Human,Channeler,Male,Tarabon,15,13,16,18,9
2013-09-19 17:50:20,Human,Channeler,Male,Tarabon,12,18,15,16,11
2013-09-19 17:50:19,Human,Channeler,Male,Tarabon,14,13,15,16,13
2013-09-19 17:50:19,Human,Channeler,Male,Tarabon,16,17,18,14,10
2013-09-19 17:50:18,Human,Channeler,Male,Tarabon,16,14,18,13,10
2013-09-19 17:50:18,Human,Channeler,Male,Tarabon,16,15,15,16,10
2013-09-19 17:50:17,Human,Channeler,Male,Tarabon,14,16,17,14,10
2013-09-19 17:50:17,Human,Channeler,Male,Tarabon,16,15,15,14,10
2013-09-19 17:50:16,Human,Channeler,Male,Tarabon,16,14,19,14,9
2013-09-19 17:50:16,Human,Channeler,Male,Tarabon,14,18,15,18,10
2013-09-19 17:50:15,Human,Channeler,Male,Tarabon,14,14,15,16,14
2013-09-19 17:50:15,Human,Channeler,Male,Tarabon,12,16,18,14,11
2013-09-19 17:50:14,Human,Channeler,Male,Tarabon,12,14,17,17,11
2013-09-19 17:50:14,Human,Channeler,Male,Tarabon,12,15,19,14,13
2013-09-19 17:50:14,Human,Channeler,Male,Tarabon,16,14,15,18,11
2013-09-19 17:50:13,Human,Channeler,Male,Tarabon,13,15,18,14,11
2013-09-19 17:50:12,Human,Channeler,Male,Tarabon,16,15,19,13,12
2013-09-19 17:50:12,Human,Channeler,Male,Tarabon,14,16,14,18,13
2013-09-19 17:50:12,Human,Channeler,Male,Tarabon,16,17,14,17,10
2013-09-19 17:50:11,Human,Channeler,Male,Tarabon,16,18,15,13,13
2013-09-19 17:50:11,Human,Channeler,Male,Tarabon,16,14,15,17,10
2013-09-19 17:50:10,Human,Channeler,Male,Tarabon,15,17,15,16,13
2013-09-19 17:50:10,Human,Channeler,Male,Tarabon,12,13,19,17,10
