Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-03-11 15:36:49,Human,Channeler,Male,Two Rivers,13,15,19,14,9,70
2013-03-11 15:32:04,Human,Channeler,Male,Two Rivers,10,14,17,14,16,71
2013-03-11 15:27:41,Human,Channeler,Male,Two Rivers,10,14,18,14,15,71
2013-03-11 15:23:29,Human,Channeler,Male,Two Rivers,13,14,15,14,15,71
2013-03-11 15:19:20,Human,Channeler,Male,Two Rivers,15,15,15,14,15,74
2013-03-11 15:15:44,Human,Channeler,Male,Two Rivers,11,15,19,11,15,71
2013-03-11 15:11:30,Human,Channeler,Male,Two Rivers,14,15,14,15,14,72
2012-09-18 16:17:02,Human,Channeler,Male,Two Rivers,16,14,16,14,12,72
2012-09-18 16:14:38,Human,Channeler,Male,Two Rivers,13,14,14,15,17,73
2012-09-18 16:11:38,Human,Channeler,Male,Two Rivers,15,13,15,15,16,74
2012-09-18 16:08:41,Human,Channeler,Male,Two Rivers,17,11,14,15,17,74
2012-09-18 16:05:39,Human,Channeler,Male,Two Rivers,13,14,16,18,12,73
2012-09-18 16:03:00,Human,Channeler,Male,Two Rivers,14,10,17,14,18,73
2012-09-18 16:00:22,Human,Channeler,Male,Two Rivers,12,12,17,15,14,70
2012-09-18 15:57:50,Human,Channeler,Male,Two Rivers,17,11,14,18,15,75
