Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:01:52,Human,Channeler,Female,Two-Rivers,13,15,19,13,13,73
2013-09-19 18:01:52,Human,Channeler,Female,Two-Rivers,13,18,19,10,12,72
2013-09-19 18:01:51,Human,Channeler,Female,Two-Rivers,14,15,17,15,12,73
2013-09-19 18:01:51,Human,Channeler,Female,Two-Rivers,15,16,18,14,12,75
2013-09-19 18:01:50,Human,Channeler,Female,Two-Rivers,12,19,17,11,11,70
2013-09-19 18:01:50,Human,Channeler,Female,Two-Rivers,16,18,14,13,12,73
2013-09-19 18:01:50,Human,Channeler,Female,Two-Rivers,15,17,17,10,12,71
2013-09-19 18:01:49,Human,Channeler,Female,Two-Rivers,15,12,16,13,14,70
2013-09-19 18:01:49,Human,Channeler,Female,Two-Rivers,16,16,14,13,15,74
2013-09-19 18:01:48,Human,Channeler,Female,Two-Rivers,12,18,19,13,12,74
2013-09-19 18:01:48,Human,Channeler,Female,Two-Rivers,16,15,17,12,11,71
2013-09-19 18:01:47,Human,Channeler,Female,Two-Rivers,12,19,18,14,10,73
