Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2012-05-03 16:21:38,Human,Hunter,Female,Kandor,18,13,12,15,19
2012-05-03 16:19:44,Human,Hunter,Female,Kandor,15,12,13,18,16
2012-05-03 16:17:02,Human,Hunter,Female,Kandor,16,12,12,15,15
2012-05-03 16:15:28,Human,Hunter,Female,Kandor,17,15,10,15,15
2012-05-03 16:13:44,Human,Hunter,Female,Kandor,16,12,12,16,15
2012-05-03 16:12:18,Human,Hunter,Female,Kandor,15,12,14,15,15
2012-05-03 16:11:06,Human,Hunter,Female,Kandor,16,12,12,19,15
2012-05-03 16:09:16,Human,Hunter,Female,Kandor,15,14,12,15,15
2012-05-03 16:07:55,Human,Hunter,Female,Kandor,16,15,10,15,15
2012-05-03 16:06:18,Human,Hunter,Female,Kandor,17,12,10,15,16
2012-05-03 16:04:38,Human,Hunter,Female,Kandor,15,13,10,19,15
2012-05-03 16:03:08,Human,Hunter,Female,Kandor,16,12,13,18,15
2012-05-03 16:01:22,Human,Hunter,Female,Kandor,16,12,12,15,17
2012-05-03 15:59:36,Human,Hunter,Female,Kandor,16,12,14,15,13
2012-05-03 15:58:16,Human,Hunter,Female,Kandor,16,14,11,14,15
2012-05-03 15:56:14,Human,Hunter,Female,Kandor,14,15,12,14,15
2012-05-03 15:54:27,Human,Hunter,Female,Kandor,19,12,10,14,15
2012-05-03 15:52:35,Human,Hunter,Female,Kandor,16,13,15,14,16
2012-05-03 15:50:45,Human,Hunter,Female,Kandor,16,12,12,17,19
2012-05-03 15:49:04,Human,Hunter,Female,Kandor,16,12,11,17,15
2012-05-03 15:46:51,Human,Hunter,Female,Kandor,16,12,16,15,15
2012-05-03 15:45:15,Human,Hunter,Female,Kandor,16,12,14,16,15
2012-05-03 15:43:43,Human,Hunter,Female,Kandor,16,12,12,16,15
2012-05-03 15:42:14,Human,Hunter,Female,Kandor,16,11,15,15,15
2012-05-03 15:40:16,Human,Hunter,Female,Kandor,17,15,13,14,13
2012-05-03 15:38:45,Human,Hunter,Female,Kandor,16,13,12,16,13
2012-05-03 15:37:17,Human,Hunter,Female,Kandor,18,14,11,15,12
2012-05-03 15:36:00,Human,Hunter,Female,Kandor,17,12,12,15,17
2012-05-03 15:33:56,Human,Hunter,Female,Kandor,17,12,13,15,17
2012-05-03 15:32:35,Human,Hunter,Female,Kandor,18,12,14,13,17
2012-05-03 15:31:14,Human,Hunter,Female,Kandor,16,13,12,14,18
2012-05-03 15:29:26,Human,Hunter,Female,Kandor,16,12,11,19,15
2012-05-03 15:20:04,Human,Hunter,Female,Kandor,18,10,12,15,15
2012-05-03 15:17:51,Human,Hunter,Female,Kandor,18,12,13,15,15
2012-05-03 15:16:25,Human,Hunter,Female,Kandor,16,12,15,15,14
2012-05-03 15:14:55,Human,Hunter,Female,Kandor,16,13,13,16,15
