Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-18 04:37:02,Human,Hunter,Female,Saldaea,16,12,12,14,17
2013-09-18 04:34:53,Human,Hunter,Female,Saldaea,16,13,10,16,15
2013-09-18 04:32:29,Human,Hunter,Female,Saldaea,14,12,14,16,16
2013-09-18 04:30:45,Human,Hunter,Female,Saldaea,15,14,16,17,15
2013-09-18 04:29:13,Human,Hunter,Female,Saldaea,14,14,12,15,15
2013-09-18 04:26:54,Human,Hunter,Female,Saldaea,18,12,10,15,15
2013-08-25 10:10:58,Human,Hunter,Female,Saldaea,19,12,13,19,18
2013-08-25 10:06:02,Human,Hunter,Female,Saldaea,16,14,12,17,13
2013-08-25 10:03:34,Human,Hunter,Female,Saldaea,19,12,14,11,17
2013-08-25 10:01:26,Human,Hunter,Female,Saldaea,18,10,12,15,15
2013-08-25 09:57:19,Human,Hunter,Female,Saldaea,16,12,11,16,15
2013-08-25 09:54:45,Human,Hunter,Female,Saldaea,18,12,12,15,15
2013-08-25 09:52:28,Human,Hunter,Female,Saldaea,17,11,13,12,17
2013-08-25 09:46:37,Human,Hunter,Female,Saldaea,16,14,12,14,15
2013-08-25 09:43:55,Human,Hunter,Female,Saldaea,16,10,12,13,19
2013-08-25 09:38:32,Human,Hunter,Female,Saldaea,16,9,11,17,17
2013-08-25 09:36:00,Human,Hunter,Female,Saldaea,17,11,14,14,15
2013-08-25 09:34:09,Human,Hunter,Female,Saldaea,18,10,12,17,15
2013-08-25 09:30:20,Human,Hunter,Female,Saldaea,18,12,10,15,15
2013-08-25 09:27:56,Human,Hunter,Female,Saldaea,16,12,14,15,14
2013-08-25 09:25:48,Human,Hunter,Female,Saldaea,16,12,14,14,14
2013-08-25 09:22:02,Human,Hunter,Female,Saldaea,15,12,15,16,18
2013-08-25 09:19:32,Human,Hunter,Female,Saldaea,17,12,11,15,15
2013-08-25 09:17:43,Human,Hunter,Female,Saldaea,16,13,15,15,14
2013-08-25 09:13:28,Human,Hunter,Female,Saldaea,16,14,10,15,17
2013-08-25 09:10:55,Human,Hunter,Female,Saldaea,18,11,12,15,16
2013-08-25 09:08:49,Human,Hunter,Female,Saldaea,16,12,10,15,17
2013-08-25 09:03:16,Human,Hunter,Female,Saldaea,18,14,12,15,18
2013-08-25 09:00:34,Human,Hunter,Female,Saldaea,16,14,12,15,15
2013-08-25 08:58:23,Human,Hunter,Female,Saldaea,19,12,14,15,15
2013-08-25 08:54:12,Human,Hunter,Female,Saldaea,16,14,12,15,15
2013-08-25 08:51:42,Human,Hunter,Female,Saldaea,17,13,12,15,17
2013-08-25 08:49:29,Human,Hunter,Female,Saldaea,16,15,11,15,17
2013-08-25 08:47:27,Human,Hunter,Female,Saldaea,16,15,14,15,14
2013-08-25 08:43:21,Human,Hunter,Female,Saldaea,16,12,13,15,15
2013-08-25 08:40:34,Human,Hunter,Female,Saldaea,14,13,12,17,15
2013-08-25 08:38:22,Human,Hunter,Female,Saldaea,16,12,12,17,13
2013-08-25 08:32:48,Human,Hunter,Female,Saldaea,17,12,14,14,17
2013-08-25 08:30:16,Human,Hunter,Female,Saldaea,19,9,12,17,17
2013-08-25 08:27:58,Human,Hunter,Female,Saldaea,18,11,14,14,17
2013-08-25 08:24:12,Human,Hunter,Female,Saldaea,15,12,14,14,18
2013-08-25 08:21:28,Human,Hunter,Female,Saldaea,17,15,10,14,15
2013-08-25 08:19:23,Human,Hunter,Female,Saldaea,14,11,14,15,17
2013-08-25 08:17:20,Human,Hunter,Female,Saldaea,16,12,10,18,18
2013-08-25 08:12:59,Human,Hunter,Female,Saldaea,16,14,11,16,17
2013-08-25 08:10:18,Human,Hunter,Female,Saldaea,17,12,12,14,15
2013-08-25 08:08:23,Human,Hunter,Female,Saldaea,19,12,13,13,14
2013-08-25 08:02:40,Human,Hunter,Female,Saldaea,14,13,12,16,16
2013-08-25 08:00:15,Human,Hunter,Female,Saldaea,16,13,12,15,15
2013-08-25 07:58:18,Human,Hunter,Female,Saldaea,18,11,12,13,18
2013-08-25 07:53:56,Human,Hunter,Female,Saldaea,16,13,11,15,15
2013-08-25 07:51:24,Human,Hunter,Female,Saldaea,18,12,11,16,15
2013-08-25 07:49:25,Human,Hunter,Female,Saldaea,19,12,12,15,14
2013-08-25 07:45:16,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-25 07:42:42,Human,Hunter,Female,Saldaea,16,14,11,14,15
2013-08-25 07:40:41,Human,Hunter,Female,Saldaea,16,11,15,15,15
2013-08-25 07:35:21,Human,Hunter,Female,Saldaea,16,12,12,18,16
2013-08-25 07:33:10,Human,Hunter,Female,Saldaea,15,12,12,16,15
