Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2012-05-01 20:46:54,Human,Hunter,Female,Shienar,17,12,13,17,16
2012-05-01 20:45:00,Human,Hunter,Female,Shienar,16,10,14,13,18
2012-05-01 20:43:21,Human,Hunter,Female,Shienar,16,12,13,15,15
2012-05-01 20:41:37,Human,Hunter,Female,Shienar,16,13,12,15,16
2012-05-01 20:40:17,Human,Hunter,Female,Shienar,16,14,11,15,15
2012-05-01 20:38:36,Human,Hunter,Female,Shienar,16,15,12,13,14
2012-05-01 20:37:06,Human,Hunter,Female,Shienar,13,14,12,16,15
2012-05-01 20:35:22,Human,Hunter,Female,Shienar,15,12,15,17,15
2012-05-01 20:33:59,Human,Hunter,Female,Shienar,16,14,10,18,15
2012-05-01 20:32:09,Human,Hunter,Female,Shienar,17,11,11,15,17
2012-05-01 20:30:59,Human,Hunter,Female,Shienar,16,15,12,16,15
2012-05-01 20:29:02,Human,Hunter,Female,Shienar,18,12,12,15,15
2012-05-01 20:27:37,Human,Hunter,Female,Shienar,16,13,14,13,15
2012-05-01 20:25:53,Human,Hunter,Female,Shienar,18,12,11,15,14
2012-05-01 20:24:19,Human,Hunter,Female,Shienar,16,12,16,15,14
2012-05-01 20:23:08,Human,Hunter,Female,Shienar,17,14,12,16,15
2012-05-01 20:21:46,Human,Hunter,Female,Shienar,16,12,13,17,15
2012-05-01 20:20:14,Human,Hunter,Female,Shienar,18,10,12,18,16
2012-05-01 20:18:52,Human,Hunter,Female,Shienar,16,12,14,14,16
2012-05-01 20:17:38,Human,Hunter,Female,Shienar,16,14,10,15,17
2012-05-01 20:14:58,Human,Hunter,Female,Shienar,16,14,13,16,12
2012-05-01 20:12:24,Human,Hunter,Female,Shienar,19,9,14,14,17
2012-05-01 20:10:56,Human,Hunter,Female,Shienar,17,12,12,13,17
2012-05-01 20:09:26,Human,Hunter,Female,Shienar,16,12,11,14,18
2012-05-01 20:07:21,Human,Hunter,Female,Shienar,16,12,13,16,13
2012-05-01 20:04:08,Human,Hunter,Female,Shienar,15,12,12,16,15
2012-05-01 20:02:35,Human,Hunter,Female,Shienar,18,10,12,17,14
2012-05-01 20:01:01,Human,Hunter,Female,Shienar,17,10,12,15,18
2012-05-01 19:59:23,Human,Hunter,Female,Shienar,15,13,12,15,15
2012-05-01 19:58:19,Human,Hunter,Female,Shienar,16,12,12,14,16
2012-05-01 19:56:34,Human,Hunter,Female,Shienar,16,11,14,15,18
2012-05-01 19:54:35,Human,Hunter,Female,Shienar,15,12,12,16,17
2012-05-01 19:53:05,Human,Hunter,Female,Shienar,16,12,15,15,13
2012-05-01 19:51:50,Human,Hunter,Female,Shienar,16,10,13,15,17
2012-05-01 19:49:22,Human,Hunter,Female,Shienar,18,12,14,15,13
2012-05-01 19:46:32,Human,Hunter,Female,Shienar,16,13,12,16,17
2012-05-01 19:45:01,Human,Hunter,Female,Shienar,18,14,14,15,13
