Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-19 19:17:34,Human,Rogue,Male,Kandor,15,12,11,17,16,71
2013-09-19 19:17:34,Human,Rogue,Male,Kandor,15,15,12,17,13,72
2013-09-19 19:17:34,Human,Rogue,Male,Kandor,14,15,13,16,16,74
2013-09-19 19:17:33,Human,Rogue,Male,Kandor,14,14,12,18,13,71
2013-09-19 19:17:33,Human,Rogue,Male,Kandor,15,9,13,19,16,72
2013-09-19 19:17:32,Human,Rogue,Male,Kandor,17,12,12,16,14,71
2013-09-19 19:17:31,Human,Rogue,Male,Kandor,15,13,11,19,17,75
2013-09-19 19:17:31,Human,Rogue,Male,Kandor,17,12,11,17,16,73
2013-09-19 19:17:31,Human,Rogue,Male,Kandor,17,13,11,18,15,74
2013-09-19 19:17:30,Human,Rogue,Male,Kandor,17,14,12,17,16,76
2013-09-19 19:17:30,Human,Rogue,Male,Kandor,15,12,13,16,15,71
2013-09-19 19:17:29,Human,Rogue,Male,Kandor,15,15,12,17,16,75
2013-09-19 19:17:29,Human,Rogue,Male,Kandor,18,10,14,17,17,76
2013-09-19 19:17:28,Human,Rogue,Male,Kandor,17,12,13,16,19,77
2013-09-19 19:17:28,Human,Rogue,Male,Kandor,17,13,14,18,16,78
2013-09-19 19:17:27,Human,Rogue,Male,Kandor,16,14,10,18,12,70
2013-09-19 19:17:27,Human,Rogue,Male,Kandor,15,13,14,19,18,79
2013-09-19 19:17:26,Human,Rogue,Male,Kandor,16,12,12,17,13,70
2013-09-19 19:17:26,Human,Rogue,Male,Kandor,14,11,14,16,15,70
2013-09-19 19:17:25,Human,Rogue,Male,Kandor,18,12,12,18,15,75
2013-09-19 19:17:25,Human,Rogue,Male,Kandor,13,14,14,19,17,77
2013-09-19 19:17:24,Human,Rogue,Male,Kandor,13,12,14,19,17,75
2013-09-19 19:17:24,Human,Rogue,Male,Kandor,16,14,12,19,15,76
2013-09-19 19:17:23,Human,Rogue,Male,Kandor,17,10,11,17,15,70
2013-09-19 19:17:23,Human,Rogue,Male,Kandor,12,12,12,17,17,70
2013-09-19 19:17:23,Human,Rogue,Male,Kandor,18,13,14,18,15,78
2013-09-19 19:17:22,Human,Rogue,Male,Kandor,14,13,12,14,17,70
2013-09-19 19:17:22,Human,Rogue,Male,Kandor,15,15,12,18,17,77
2013-09-19 19:17:21,Human,Rogue,Male,Kandor,18,12,12,17,14,73
2013-09-19 19:17:21,Human,Rogue,Male,Kandor,17,12,11,17,14,71
2013-09-19 19:17:20,Human,Rogue,Male,Kandor,17,12,15,17,15,76
2013-09-19 19:17:20,Human,Rogue,Male,Kandor,15,14,10,18,15,72
2013-09-19 19:17:20,Human,Rogue,Male,Kandor,15,12,12,17,15,71
2013-09-19 19:17:19,Human,Rogue,Male,Kandor,15,12,12,14,17,70
2013-09-19 19:17:19,Human,Rogue,Male,Kandor,18,14,12,16,13,73
2013-09-19 19:17:18,Human,Rogue,Male,Kandor,15,10,14,16,15,70
2013-09-19 19:17:17,Human,Rogue,Male,Kandor,18,15,14,17,15,79
2013-09-19 19:17:17,Human,Rogue,Male,Kandor,15,13,13,16,13,70
2013-09-19 19:17:16,Human,Rogue,Male,Kandor,15,13,13,17,16,74
2013-09-19 19:17:16,Human,Rogue,Male,Kandor,14,14,12,17,15,72
2013-09-19 19:17:15,Human,Rogue,Male,Kandor,15,10,15,17,15,72
2013-09-19 19:17:14,Human,Rogue,Male,Kandor,17,11,12,17,15,72
2013-09-19 19:17:14,Human,Rogue,Male,Kandor,17,11,11,19,15,73
2013-09-19 19:17:13,Human,Rogue,Male,Kandor,15,11,14,17,15,72
2013-09-19 19:17:12,Human,Rogue,Male,Kandor,14,14,16,17,15,76
2013-09-19 19:17:12,Human,Rogue,Male,Kandor,16,12,10,19,16,73
2013-09-19 19:17:12,Human,Rogue,Male,Kandor,15,12,12,18,14,71
2013-09-19 19:17:11,Human,Rogue,Male,Kandor,15,15,12,17,15,74
2013-09-19 19:17:11,Human,Rogue,Male,Kandor,17,12,12,16,16,73
2013-09-19 19:17:10,Human,Rogue,Male,Kandor,15,12,15,18,15,75
2013-09-19 19:17:10,Human,Rogue,Male,Kandor,15,10,14,17,14,70
2013-09-19 19:17:10,Human,Rogue,Male,Kandor,15,11,12,17,15,70
2013-09-19 19:17:09,Human,Rogue,Male,Kandor,15,15,15,17,17,79
2013-09-19 19:17:09,Human,Rogue,Male,Kandor,14,13,12,14,17,70
2013-09-19 19:17:08,Human,Rogue,Male,Kandor,16,12,14,15,15,72
2013-09-19 19:17:08,Human,Rogue,Male,Kandor,16,12,15,16,15,74
2013-09-19 19:17:07,Human,Rogue,Male,Kandor,13,13,14,17,15,72
2013-09-19 19:17:07,Human,Rogue,Male,Kandor,13,13,14,17,15,72
2013-09-19 19:17:07,Human,Rogue,Male,Kandor,15,12,12,17,15,71
2013-09-19 19:17:06,Human,Rogue,Male,Kandor,15,12,13,17,14,71
2013-09-19 19:17:06,Human,Rogue,Male,Kandor,18,14,11,16,13,72
