2013-09-20 21:49:03,Human,Hunter,Male,Arafel,14,13,14,15,17
2013-03-20 03:18:55,Human,Rogue,Female,TwoRivers,13,13,14,17,16
2013-03-20 03:14:12,Human,Rogue,Female,TwoRivers,14,10,14,18,17
2013-03-20 03:10:23,Human,Rogue,Female,TwoRivers,16,12,12,19,18
2013-03-20 03:07:04,Human,Rogue,Female,TwoRivers,15,14,12,14,16
2013-03-20 03:03:33,Human,Rogue,Female,TwoRivers,18,13,14,12,15
2013-03-20 03:00:27,Human,Rogue,Female,TwoRivers,14,11,17,15,16
2013-03-20 02:57:21,Human,Rogue,Female,TwoRivers,15,12,17,16,12
2013-03-20 02:54:25,Human,Rogue,Female,TwoRivers,18,9,17,15,15
2013-03-20 02:51:37,Human,Rogue,Female,TwoRivers,14,12,15,17,16
2013-03-20 02:48:44,Human,Rogue,Female,TwoRivers,14,12,13,15,18
2013-03-20 02:42:07,Human,Rogue,Female,TwoRivers,18,14,12,18,18
2013-03-20 02:40:02,Human,Rogue,Female,TwoRivers,14,12,14,17,16
2013-03-20 02:32:00,Human,Rogue,Female,TwoRivers,17,12,11,17,15
2013-03-20 02:28:48,Human,Rogue,Female,TwoRivers,10,16,10,17,18
2013-03-20 02:25:46,Human,Rogue,Female,TwoRivers,18,12,16,14,13
2013-03-20 02:23:22,Human,Rogue,Female,TwoRivers,15,16,12,19,17
2013-03-20 02:20:58,Human,Rogue,Female,TwoRivers,14,9,16,14,18
2013-03-20 02:18:27,Human,Rogue,Female,TwoRivers,18,12,16,15,16
2013-03-20 02:16:07,Human,Rogue,Female,TwoRivers,14,9,14,17,17
2013-03-20 02:14:14,Human,Rogue,Female,TwoRivers,17,12,14,14,13
2013-03-20 02:12:42,Human,Rogue,Female,TwoRivers,14,14,11,18,16
2013-03-20 02:10:17,Human,Rogue,Female,TwoRivers,15,14,15,16,16
2013-03-20 02:07:29,Human,Rogue,Female,TwoRivers,13,12,14,14,18
2013-03-20 02:05:16,Human,Rogue,Female,TwoRivers,16,12,16,15,17
2013-03-20 02:02:29,Human,Rogue,Female,TwoRivers,14,11,14,15,16
2013-03-20 02:00:09,Human,Rogue,Female,TwoRivers,14,15,14,18,13
2013-03-20 01:57:52,Human,Rogue,Female,TwoRivers,17,12,14,15,13
2013-03-20 01:55:33,Human,Rogue,Female,TwoRivers,14,13,15,15,15
2013-03-20 01:53:46,Human,Rogue,Female,TwoRivers,15,10,16,18,16
2013-03-20 01:51:48,Human,Rogue,Female,TwoRivers,14,12,18,15,12
2013-03-20 01:50:30,Human,Rogue,Female,TwoRivers,14,11,17,18,17
2013-03-20 01:48:15,Human,Rogue,Female,TwoRivers,16,12,15,15,17
2013-03-20 01:46:12,Human,Rogue,Female,TwoRivers,14,13,12,18,18
2013-03-20 01:44:06,Human,Rogue,Female,TwoRivers,13,10,16,19,17
2013-03-20 01:41:53,Human,Rogue,Female,TwoRivers,14,15,14,13,18
2013-03-20 01:39:46,Human,Rogue,Female,TwoRivers,14,15,18,14,19
2013-03-20 01:37:43,Human,Rogue,Female,TwoRivers,18,15,18,17,15
2013-03-20 01:34:08,Human,Rogue,Female,TwoRivers,18,14,18,14,14
2013-03-20 01:31:31,Human,Rogue,Female,TwoRivers,14,16,14,18,15
2013-03-20 01:29:04,Human,Rogue,Female,TwoRivers,17,11,14,17,15
2013-03-16 07:24:04,Human,Rogue,Female,TwoRivers,16,15,17,18,15
2013-03-16 07:21:55,Human,Rogue,Female,TwoRivers,12,13,14,15,16
2013-03-16 07:19:05,Human,Rogue,Female,TwoRivers,14,12,17,14,14
2013-03-16 07:13:57,Human,Rogue,Female,TwoRivers,17,12,17,15,19
2013-03-16 07:10:50,Human,Rogue,Female,TwoRivers,11,13,14,17,19
2013-03-16 07:09:05,Human,Rogue,Female,TwoRivers,12,16,16,17,16
2013-03-16 07:06:34,Human,Rogue,Female,TwoRivers,17,13,13,18,15
2013-03-15 22:20:31,Human,Rogue,Female,TwoRivers,14,16,14,16,17
2013-03-15 22:16:55,Human,Rogue,Female,TwoRivers,17,14,16,19,15
2013-03-15 22:14:26,Human,Rogue,Female,TwoRivers,15,9,16,19,11
2013-03-15 22:12:13,Human,Rogue,Female,TwoRivers,14,13,15,14,15
2013-03-15 22:08:42,Human,Rogue,Female,TwoRivers,14,11,16,19,12
2013-03-15 22:06:02,Human,Rogue,Female,TwoRivers,17,10,18,16,12
2013-03-15 22:02:57,Human,Rogue,Female,TwoRivers,17,12,12,14,15
2013-03-15 21:58:58,Human,Rogue,Female,TwoRivers,13,14,16,12,18
2013-03-15 21:55:43,Human,Rogue,Female,TwoRivers,15,11,16,15,17
2013-03-15 21:51:21,Human,Rogue,Female,TwoRivers,14,12,11,19,15
2013-03-15 21:46:54,Human,Rogue,Female,TwoRivers,13,12,16,18,18
2013-03-15 21:42:13,Human,Rogue,Female,TwoRivers,12,10,17,15,18
2013-03-15 18:45:22,Human,Rogue,Female,TwoRivers,14,12,11,16,18
2013-03-15 18:22:53,Human,Rogue,Female,TwoRivers,13,11,14,18,15
2013-03-15 18:19:22,Human,Rogue,Female,TwoRivers,13,11,14,18,15
