Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 17:44:34,Human,Warrior,Male,Kandor,19,14,9,16,19
2013-09-19 17:44:34,Human,Warrior,Male,Kandor,18,12,12,14,15
2013-09-19 17:44:33,Human,Warrior,Male,Kandor,18,12,11,14,17
2013-09-19 17:44:32,Human,Warrior,Male,Kandor,17,12,10,15,17
2013-09-19 17:44:32,Human,Warrior,Male,Kandor,18,13,11,12,17
2013-09-19 17:44:31,Human,Warrior,Male,Kandor,18,12,10,14,19
2013-09-19 17:44:31,Human,Warrior,Male,Kandor,19,12,12,14,17
2013-09-19 17:44:31,Human,Warrior,Male,Kandor,19,14,11,13,14
2013-09-19 17:44:30,Human,Warrior,Male,Kandor,19,12,14,16,17
2013-09-19 17:44:30,Human,Warrior,Male,Kandor,19,13,12,14,17
2013-09-19 17:44:29,Human,Warrior,Male,Kandor,17,12,12,14,17
2013-09-19 17:44:29,Human,Warrior,Male,Kandor,18,12,9,17,15
2013-09-19 17:44:28,Human,Warrior,Male,Kandor,19,12,9,14,17
2013-09-19 17:44:27,Human,Warrior,Male,Kandor,18,10,13,14,17
2013-09-19 17:44:27,Human,Warrior,Male,Kandor,19,13,9,12,18
2013-09-19 17:44:27,Human,Warrior,Male,Kandor,17,9,11,16,17
2013-09-19 17:44:26,Human,Warrior,Male,Kandor,18,13,11,15,16
2013-09-19 17:44:26,Human,Warrior,Male,Kandor,18,13,11,14,17
2013-09-19 17:44:25,Human,Warrior,Male,Kandor,17,12,12,14,17
2013-09-19 17:44:25,Human,Warrior,Male,Kandor,18,13,11,14,17
2013-09-19 17:44:24,Human,Warrior,Male,Kandor,18,12,12,11,19
2013-09-19 17:44:24,Human,Warrior,Male,Kandor,18,12,9,14,17
2013-09-19 17:44:23,Human,Warrior,Male,Kandor,18,11,13,12,17
2013-09-19 17:44:23,Human,Warrior,Male,Kandor,19,15,9,11,16
2013-09-19 17:44:23,Human,Warrior,Male,Kandor,18,12,13,14,17
2013-09-19 17:44:22,Human,Warrior,Male,Kandor,17,12,10,13,19
2013-09-19 17:44:21,Human,Warrior,Male,Kandor,19,14,13,13,19
2013-09-19 17:44:21,Human,Warrior,Male,Kandor,19,11,11,15,17
2013-09-19 17:44:21,Human,Warrior,Male,Kandor,18,12,13,11,17
2013-09-19 17:44:20,Human,Warrior,Male,Kandor,17,10,14,16,19
2012-05-07 01:31:25,Human,Warrior,Male,Kandor,16,12,12,15,15
