Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-19 18:50:42,Darkside,Hunter,Male,Wolfish,16,10,10,17,17,70
2013-09-19 18:50:40,Darkside,Hunter,Male,Wolfish,15,10,7,16,17,65
2013-09-19 18:50:40,Darkside,Hunter,Male,Wolfish,17,10,8,16,17,68
2013-09-19 18:50:40,Darkside,Hunter,Male,Wolfish,15,12,5,19,14,65
2013-09-19 18:50:39,Darkside,Hunter,Male,Wolfish,16,13,8,16,15,68
2013-09-19 18:50:38,Darkside,Hunter,Male,Wolfish,17,10,7,17,16,67
2013-09-19 18:50:38,Darkside,Hunter,Male,Wolfish,14,10,9,14,18,65
2013-09-19 18:50:38,Darkside,Hunter,Male,Wolfish,16,12,7,15,16,66
2013-09-19 18:50:37,Darkside,Hunter,Male,Wolfish,16,10,9,17,16,68
2013-09-19 18:50:37,Darkside,Hunter,Male,Wolfish,14,12,10,14,17,67
2013-09-19 18:50:36,Darkside,Hunter,Male,Wolfish,19,10,8,17,16,70
2013-09-19 18:50:36,Darkside,Hunter,Male,Wolfish,17,6,9,17,18,67
2013-09-19 18:50:35,Darkside,Hunter,Male,Wolfish,16,8,9,17,18,68
2013-09-19 18:50:34,Darkside,Hunter,Male,Wolfish,14,11,10,14,17,66
2013-09-19 18:50:34,Darkside,Hunter,Male,Wolfish,16,10,9,16,15,66
2013-09-19 18:49:30,Darkside,Hunter,Male,Wolfish,17,10,8,14,17,66
2013-09-19 18:49:30,Darkside,Hunter,Male,Wolfish,15,12,8,16,16,67
2013-09-19 18:49:29,Darkside,Hunter,Male,Wolfish,19,12,6,15,15,67
2013-09-19 18:49:29,Darkside,Hunter,Male,Wolfish,18,13,8,15,15,69
2013-09-19 18:49:28,Darkside,Hunter,Male,Wolfish,16,7,9,18,15,65
2013-09-19 18:49:28,Darkside,Hunter,Male,Wolfish,14,11,9,18,17,69
2013-09-19 18:49:28,Darkside,Hunter,Male,Wolfish,16,13,7,17,13,66
2013-09-19 18:49:27,Darkside,Hunter,Male,Wolfish,18,10,8,14,16,66
2013-09-19 18:49:27,Darkside,Hunter,Male,Wolfish,19,7,7,13,19,65
