Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2015-01-27 09:24:34,Darkside,Warrior,Male,Wolfish,19,9,8,17,19,72
2015-01-27 09:21:14,Darkside,Warrior,Male,Wolfish,14,11,6,16,19,66
2015-01-27 09:17:59,Darkside,Warrior,Male,Wolfish,19,9,3,17,17,65
2015-01-27 09:15:05,Darkside,Warrior,Male,Wolfish,19,9,7,16,16,67
2015-01-26 15:32:30,Darkside,Warrior,Male,Wolfish,19,13,4,17,19,72
2015-01-26 15:29:28,Darkside,Warrior,Male,Wolfish,17,9,7,17,17,67
2015-01-26 15:26:51,Darkside,Warrior,Male,Wolfish,15,8,8,16,18,65
2015-01-26 15:24:09,Darkside,Warrior,Male,Wolfish,19,13,8,13,18,71
2015-01-26 15:20:44,Darkside,Warrior,Male,Wolfish,18,13,8,15,18,72
2015-01-26 15:17:07,Darkside,Warrior,Male,Wolfish,19,9,7,15,18,68
2015-01-26 15:14:08,Darkside,Warrior,Male,Wolfish,19,10,3,15,19,66
2015-01-26 15:11:45,Darkside,Warrior,Male,Wolfish,19,12,5,15,18,69
2015-01-26 15:09:01,Darkside,Warrior,Male,Wolfish,17,12,5,13,19,66
2015-01-26 15:05:47,Darkside,Warrior,Male,Wolfish,18,11,7,15,19,70
2015-01-26 15:03:26,Darkside,Warrior,Male,Wolfish,19,11,6,15,17,68
2015-01-26 14:59:33,Darkside,Warrior,Male,Wolfish,19,9,5,17,17,67
2015-01-26 14:56:49,Darkside,Warrior,Male,Wolfish,17,9,7,16,18,67
2015-01-26 14:53:57,Darkside,Warrior,Male,Wolfish,16,10,5,16,18,65
2015-01-26 14:51:30,Darkside,Warrior,Male,Wolfish,18,11,6,12,18,65
2015-01-26 14:48:17,Darkside,Warrior,Male,Wolfish,19,10,8,15,19,71
2015-01-26 14:45:41,Darkside,Warrior,Male,Wolfish,17,11,7,13,18,66
2015-01-26 14:42:45,Darkside,Warrior,Male,Wolfish,17,12,8,12,19,68
2015-01-26 14:39:33,Darkside,Warrior,Male,Wolfish,15,13,7,12,18,65
2015-01-26 14:36:43,Darkside,Warrior,Male,Wolfish,17,10,6,15,17,65
2015-01-26 14:34:04,Darkside,Warrior,Male,Wolfish,19,7,8,14,17,65
2015-01-26 14:31:03,Darkside,Warrior,Male,Wolfish,19,7,10,14,19,69
2015-01-26 14:27:49,Darkside,Warrior,Male,Wolfish,18,11,4,15,19,67
2015-01-26 14:24:30,Darkside,Warrior,Male,Wolfish,19,10,7,16,19,71
2015-01-26 14:20:54,Darkside,Warrior,Male,Wolfish,15,8,8,16,19,66
2015-01-26 14:17:53,Darkside,Warrior,Male,Wolfish,16,7,8,16,18,65
2015-01-26 14:14:43,Darkside,Warrior,Male,Wolfish,18,11,6,14,19,68
2015-01-26 14:12:04,Darkside,Warrior,Male,Wolfish,19,12,6,14,18,69
2015-01-26 14:08:54,Darkside,Warrior,Male,Wolfish,19,9,6,15,19,68
2015-01-26 14:04:30,Darkside,Warrior,Male,Wolfish,16,7,9,14,19,65
2015-01-26 14:00:50,Darkside,Warrior,Male,Wolfish,18,9,8,17,15,67
2015-01-26 13:57:55,Darkside,Warrior,Male,Wolfish,19,8,8,17,14,66
2015-01-26 13:54:09,Darkside,Warrior,Male,Wolfish,18,11,6,13,19,67
2015-01-26 13:51:22,Darkside,Warrior,Male,Wolfish,16,9,7,16,17,65
2015-01-26 13:48:29,Darkside,Warrior,Male,Wolfish,18,12,4,13,19,66
2015-01-26 13:45:34,Darkside,Warrior,Male,Wolfish,15,11,7,14,18,65
2015-01-26 13:42:41,Darkside,Warrior,Male,Wolfish,15,11,6,15,19,66
2015-01-26 13:39:39,Darkside,Warrior,Male,Wolfish,19,8,7,14,18,66
2015-01-26 13:36:24,Darkside,Warrior,Male,Wolfish,18,13,6,16,17,70
2015-01-26 13:34:12,Darkside,Warrior,Male,Wolfish,18,8,5,18,16,65
2015-01-26 13:30:57,Darkside,Warrior,Male,Wolfish,19,7,6,18,17,67
2015-01-26 13:27:38,Darkside,Warrior,Male,Wolfish,16,9,7,16,19,67
2015-01-26 13:24:36,Darkside,Warrior,Male,Wolfish,16,11,5,16,18,66
2015-01-26 13:21:55,Darkside,Warrior,Male,Wolfish,19,8,8,12,18,65
2015-01-26 13:19:32,Darkside,Warrior,Male,Wolfish,17,9,8,16,19,69
2015-01-26 13:16:36,Darkside,Warrior,Male,Wolfish,16,11,6,15,18,66
2015-01-26 13:13:57,Darkside,Warrior,Male,Wolfish,16,8,8,17,17,66
2015-01-26 13:10:57,Darkside,Warrior,Male,Wolfish,18,8,8,13,18,65
2015-01-26 13:07:21,Darkside,Warrior,Male,Wolfish,18,8,8,16,19,69
2015-01-26 13:03:50,Darkside,Warrior,Male,Wolfish,19,12,7,15,16,69
2015-01-26 13:01:24,Darkside,Warrior,Male,Wolfish,16,10,10,13,16,65
2015-01-26 11:55:50,Darkside,Warrior,Male,Wolfish,18,12,8,12,19,69
2015-01-26 11:53:10,Darkside,Warrior,Male,Wolfish,18,8,9,16,18,69
2015-01-26 11:49:32,Darkside,Warrior,Male,Wolfish,18,8,10,16,18,70
2015-01-26 11:46:32,Darkside,Warrior,Male,Wolfish,19,12,7,15,16,69
2015-01-26 11:43:24,Darkside,Warrior,Male,Wolfish,17,7,6,16,19,65
2015-01-26 11:39:56,Darkside,Warrior,Male,Wolfish,16,11,6,16,17,66
2015-01-26 11:36:34,Darkside,Warrior,Male,Wolfish,17,9,7,13,19,65
2015-01-26 11:33:52,Darkside,Warrior,Male,Wolfish,17,9,8,15,19,68
2015-01-26 11:30:41,Darkside,Warrior,Male,Wolfish,17,11,7,16,16,67
2015-01-26 11:26:59,Darkside,Warrior,Male,Wolfish,19,10,6,14,19,68
2015-01-26 11:23:50,Darkside,Warrior,Male,Wolfish,18,9,10,13,18,68
2015-01-26 11:20:58,Darkside,Warrior,Male,Wolfish,17,12,7,14,18,68
2015-01-26 11:18:36,Darkside,Warrior,Male,Wolfish,19,11,4,15,19,68
2015-01-26 11:15:57,Darkside,Warrior,Male,Wolfish,18,12,7,16,17,70
2015-01-26 11:13:11,Darkside,Warrior,Male,Wolfish,18,11,4,14,19,66
2015-01-26 11:10:25,Darkside,Warrior,Male,Wolfish,18,7,8,13,19,65
2015-01-26 11:07:30,Darkside,Warrior,Male,Wolfish,15,12,7,15,19,68
2015-01-26 11:04:09,Darkside,Warrior,Male,Wolfish,18,11,6,12,18,65
2015-01-26 11:01:28,Darkside,Warrior,Male,Wolfish,19,9,8,16,15,67
2015-01-26 10:58:35,Darkside,Warrior,Male,Wolfish,17,8,9,16,19,69
2015-01-26 10:55:26,Darkside,Warrior,Male,Wolfish,17,11,5,15,19,67
2015-01-26 10:52:39,Darkside,Warrior,Male,Wolfish,16,10,7,14,19,66
