Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2015-04-17 02:23:21,Human,Channeler,Female,Andor,13,18,16,16,12,75
2015-04-17 02:20:51,Human,Channeler,Female,Andor,13,16,18,13,11,71
2015-04-17 02:14:39,Human,Channeler,Female,Andor,13,19,19,13,13,77
2015-04-17 02:11:59,Human,Channeler,Female,Andor,13,16,19,13,11,72
2015-04-17 02:06:11,Human,Channeler,Female,Andor,13,19,16,13,9,70
2015-04-17 02:04:00,Human,Channeler,Female,Andor,12,19,15,15,13,74
2015-04-17 02:01:36,Human,Channeler,Female,Andor,12,17,16,13,13,71
2015-04-17 01:57:14,Human,Channeler,Female,Andor,13,19,17,11,10,70
2015-04-17 01:54:40,Human,Channeler,Female,Andor,12,18,16,13,11,70
2015-04-17 01:51:23,Human,Channeler,Female,Andor,12,18,16,13,14,73
2015-04-17 01:47:01,Human,Channeler,Female,Andor,11,18,15,13,15,72
2015-04-17 01:44:49,Human,Channeler,Female,Andor,11,19,16,13,14,73
2015-04-17 01:42:25,Human,Channeler,Female,Andor,15,16,17,11,11,70
2015-04-17 01:39:55,Human,Channeler,Female,Andor,13,19,15,14,11,72
2015-04-17 01:35:12,Human,Channeler,Female,Andor,12,19,16,13,10,70
2015-04-17 01:29:58,Human,Channeler,Female,Andor,15,16,14,15,11,71
2015-04-17 01:26:31,Human,Channeler,Female,Andor,16,16,16,13,10,71
2015-04-17 01:19:42,Human,Channeler,Female,Andor,14,18,16,13,12,73
2015-04-16 23:01:49,Human,Channeler,Female,Andor,16,17,18,13,10,74
2015-04-16 22:59:21,Human,Channeler,Female,Andor,13,17,16,13,11,70
2015-04-16 22:58:48,Human,Channeler,Female,Andor,14,15,16,15,10,70
2015-04-16 22:56:54,Human,Channeler,Female,Andor,13,19,16,14,10,72
2015-04-16 22:55:51,Human,Channeler,Female,Andor,12,19,16,13,11,71
2015-04-16 22:54:32,Human,Channeler,Female,Andor,12,19,14,15,11,71
2015-04-16 22:52:52,Human,Channeler,Female,Andor,13,17,18,13,10,71
2015-04-16 22:52:43,Human,Channeler,Female,Andor,15,19,17,13,11,75
2015-04-16 22:50:21,Human,Channeler,Female,Andor,12,18,18,13,12,73
2015-04-16 22:50:21,Human,Channeler,Female,Andor,13,19,15,12,11,70
2015-04-16 22:47:37,Human,Channeler,Female,Andor,16,19,17,15,11,78
2015-04-16 22:46:45,Human,Channeler,Female,Andor,12,18,18,13,9,70
2015-04-16 22:45:13,Human,Channeler,Female,Andor,13,17,16,13,11,70
2015-04-16 22:44:59,Human,Channeler,Female,Andor,13,19,14,13,13,72
2015-04-16 22:43:23,Human,Channeler,Female,Andor,13,18,16,15,10,72
2015-04-16 22:42:37,Human,Channeler,Female,Andor,14,15,19,13,11,72
2015-04-16 22:40:39,Human,Channeler,Female,Andor,13,19,16,14,12,74
2015-04-16 22:39:23,Human,Channeler,Female,Andor,13,17,19,13,10,72
2015-04-16 22:38:24,Human,Channeler,Female,Andor,17,17,16,13,11,74
2015-04-16 22:35:59,Human,Channeler,Female,Andor,13,17,16,14,12,72
2015-04-16 22:35:44,Human,Channeler,Female,Andor,14,18,17,14,11,74
2015-04-16 22:33:48,Human,Channeler,Female,Andor,13,18,16,13,10,70
2015-04-16 22:33:14,Human,Channeler,Female,Andor,13,17,16,15,12,73
2015-04-16 22:31:55,Human,Channeler,Female,Andor,15,17,14,15,9,70
2015-04-16 22:30:25,Human,Channeler,Female,Andor,17,19,19,15,11,81
2015-04-16 22:28:47,Human,Channeler,Female,Andor,13,17,17,15,9,71
2015-04-16 22:27:45,Human,Channeler,Female,Andor,13,18,15,13,11,70
2015-04-16 22:26:35,Human,Channeler,Female,Andor,16,19,16,12,11,74
2015-04-16 22:24:49,Human,Channeler,Female,Andor,11,17,18,12,12,70
2015-04-16 22:23:10,Human,Channeler,Female,Andor,15,14,19,13,12,73
2015-04-16 22:21:27,Human,Channeler,Female,Andor,10,19,18,13,12,72
2015-04-16 22:19:55,Human,Channeler,Female,Andor,16,18,16,15,11,76
2015-04-16 22:19:23,Human,Channeler,Female,Andor,14,18,14,13,11,70
2015-04-16 22:17:46,Human,Channeler,Female,Andor,13,17,17,12,12,71
2015-04-16 22:16:50,Human,Channeler,Female,Andor,12,17,17,14,12,72
2015-04-16 22:14:39,Human,Channeler,Female,Andor,16,17,13,13,12,71
2015-04-16 22:14:11,Human,Channeler,Female,Andor,14,19,16,14,13,76
2015-04-16 22:12:33,Human,Channeler,Female,Andor,15,18,16,10,11,70
