Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2015-05-07 17:26:16,Human,Channeler,Female,Borderlands,16,13,10,17,15,71
2015-04-12 02:28:09,Human,Channeler,Female,Borderlands,15,18,15,10,12,70
2015-04-12 02:26:24,Human,Channeler,Female,Borderlands,17,14,13,15,12,71
2015-04-12 02:23:57,Human,Channeler,Female,Borderlands,14,15,17,11,13,70
2015-04-12 02:21:14,Human,Channeler,Female,Borderlands,15,18,13,13,12,71
2015-04-12 02:17:50,Human,Channeler,Female,Borderlands,14,17,15,13,14,73
2015-04-12 02:16:06,Human,Channeler,Female,Borderlands,17,16,15,15,12,75
2015-04-12 02:14:02,Human,Channeler,Female,Borderlands,14,17,15,13,14,73
2015-04-12 02:13:19,Human,Channeler,Female,Borderlands,14,17,15,12,12,70
2015-04-12 02:10:48,Human,Channeler,Female,Borderlands,15,15,17,15,12,74
2015-04-12 02:10:34,Human,Channeler,Female,Borderlands,13,15,15,13,14,70
2015-04-12 02:08:53,Human,Channeler,Female,Borderlands,18,15,15,11,12,71
2015-04-12 02:07:53,Human,Channeler,Female,Borderlands,17,17,13,12,12,71
2015-04-12 02:05:08,Human,Channeler,Female,Borderlands,14,15,15,16,11,71
2015-04-12 02:05:06,Human,Channeler,Female,Borderlands,15,15,15,12,15,72
2015-04-12 02:03:00,Human,Channeler,Female,Borderlands,14,15,14,13,14,70
2015-04-12 02:02:14,Human,Channeler,Female,Borderlands,16,16,15,15,12,74
2015-04-12 02:00:05,Human,Channeler,Female,Borderlands,14,16,14,12,15,71
2015-04-12 01:57:59,Human,Channeler,Female,Borderlands,13,15,17,12,13,70
2015-04-12 01:57:18,Human,Channeler,Female,Borderlands,15,16,15,13,12,71
2015-04-12 01:55:24,Human,Channeler,Female,Borderlands,16,15,15,16,14,76
2015-04-12 01:55:20,Human,Channeler,Female,Borderlands,15,12,17,14,14,72
2015-04-12 01:53:08,Human,Channeler,Female,Borderlands,14,14,18,15,12,73
2015-04-12 01:53:02,Human,Channeler,Female,Borderlands,13,16,17,13,12,71
2015-04-12 01:50:39,Human,Channeler,Female,Borderlands,12,19,18,13,12,74
2015-04-12 01:50:39,Human,Channeler,Female,Borderlands,17,15,15,15,12,74
2015-04-12 01:48:53,Human,Channeler,Female,Borderlands,15,16,17,11,14,73
2015-04-12 01:48:36,Human,Channeler,Female,Borderlands,16,14,15,11,14,70
2015-04-12 01:47:21,Human,Channeler,Female,Borderlands,14,16,16,14,14,74
2015-04-12 01:45:24,Human,Channeler,Female,Borderlands,14,15,15,13,14,71
2015-04-12 01:45:21,Human,Channeler,Female,Borderlands,13,17,18,12,12,72
2015-04-12 01:43:06,Human,Channeler,Female,Borderlands,15,16,15,13,12,71
2015-04-12 01:43:00,Human,Channeler,Female,Borderlands,15,15,15,11,14,70
2015-04-12 01:40:50,Human,Channeler,Female,Borderlands,15,16,15,13,12,71
2015-04-12 01:40:20,Human,Channeler,Female,Borderlands,13,13,15,17,13,71
2015-04-12 01:37:58,Human,Channeler,Female,Borderlands,16,16,15,14,12,73
2015-04-12 01:37:16,Human,Channeler,Female,Borderlands,15,15,17,13,14,74
2015-04-12 01:35:50,Human,Channeler,Female,Borderlands,14,14,15,13,14,70
2015-04-12 01:33:35,Human,Channeler,Female,Borderlands,16,17,12,13,12,70
2015-04-12 01:31:11,Human,Channeler,Female,Borderlands,15,15,15,13,13,71
2015-04-12 01:30:42,Human,Channeler,Female,Borderlands,14,13,18,13,12,70
2015-04-12 01:29:20,Human,Channeler,Female,Borderlands,15,15,16,14,12,72
2015-04-12 01:27:47,Human,Channeler,Female,Borderlands,18,16,18,14,14,80
2015-04-12 01:26:15,Human,Channeler,Female,Borderlands,16,14,15,11,14,70
2015-04-12 01:25:04,Human,Channeler,Female,Borderlands,18,16,18,14,14,80
2015-04-12 01:23:31,Human,Channeler,Female,Borderlands,14,17,15,13,12,71
2015-04-12 01:21:32,Human,Channeler,Female,Borderlands,14,17,15,15,12,73
2015-04-12 01:14:41,Human,Channeler,Female,Borderlands,15,17,13,15,13,73
2015-04-12 01:11:46,Human,Channeler,Female,Borderlands,14,17,15,13,16,75
2015-04-11 19:48:44,Human,Channeler,Female,Borderlands,14,15,15,13,13,70
2015-04-11 19:44:37,Human,Channeler,Female,Borderlands,14,16,17,13,12,72
2015-04-11 19:41:51,Human,Channeler,Female,Borderlands,14,18,14,13,12,71
2015-04-11 19:39:20,Human,Channeler,Female,Borderlands,14,15,17,10,14,70
2015-04-11 19:35:23,Human,Channeler,Female,Borderlands,14,15,15,15,14,73
2015-04-11 19:33:11,Human,Channeler,Female,Borderlands,14,16,17,13,13,73
2015-04-11 19:30:34,Human,Channeler,Female,Borderlands,14,14,17,14,12,71
2015-04-11 19:27:55,Human,Channeler,Female,Borderlands,17,15,17,12,12,73
2015-04-11 19:22:08,Human,Channeler,Female,Borderlands,15,15,15,13,13,71
2015-04-11 19:18:56,Human,Channeler,Female,Borderlands,14,14,15,13,14,70
2015-04-11 19:16:17,Human,Channeler,Female,Borderlands,14,16,15,15,14,74
2015-04-11 19:11:51,Human,Channeler,Female,Borderlands,16,18,15,12,13,74
2015-04-11 19:09:32,Human,Channeler,Female,Borderlands,10,17,16,14,13,70
2015-04-11 19:06:15,Human,Channeler,Female,Borderlands,14,15,15,14,12,70
2015-04-11 19:03:19,Human,Channeler,Female,Borderlands,16,15,14,15,11,71
2015-04-11 19:00:01,Human,Channeler,Female,Borderlands,17,12,15,16,10,70
2015-04-11 18:56:14,Human,Channeler,Female,Borderlands,14,17,15,13,12,71
2015-04-11 18:52:53,Human,Channeler,Female,Borderlands,15,16,13,13,13,70
2015-04-11 18:50:03,Human,Channeler,Female,Borderlands,14,17,15,12,14,72
2015-04-11 18:46:12,Human,Channeler,Female,Borderlands,14,17,15,13,12,71
2015-04-11 18:43:16,Human,Channeler,Female,Borderlands,14,15,16,14,11,70
2015-04-11 18:41:07,Human,Channeler,Female,Borderlands,14,14,18,13,12,71
2015-04-11 18:38:59,Human,Channeler,Female,Borderlands,15,15,15,15,13,73
2015-04-11 18:35:51,Human,Channeler,Female,Borderlands,13,15,16,12,15,71
2015-04-11 18:27:37,Human,Channeler,Female,Borderlands,14,15,15,14,14,72
2015-04-11 18:21:36,Human,Channeler,Female,Borderlands,13,16,13,15,15,72
2015-04-11 18:17:52,Human,Channeler,Female,Borderlands,14,16,15,13,12,70
2015-04-11 17:51:02,Human,Channeler,Female,Borderlands,13,16,16,13,12,70
2015-04-11 17:48:46,Human,Channeler,Female,Borderlands,12,17,14,14,13,70
2015-04-11 17:37:33,Human,Channeler,Female,Borderlands,15,15,19,13,14,76
2015-04-11 17:33:28,Human,Channeler,Female,Borderlands,14,15,13,13,15,70
2015-04-11 17:28:26,Human,Channeler,Female,Borderlands,16,15,16,13,12,72
2015-04-11 17:24:44,Human,Channeler,Female,Borderlands,14,15,16,14,14,73
2015-04-11 17:15:45,Human,Channeler,Female,Borderlands,15,15,15,13,14,72
2015-04-11 17:11:13,Human,Channeler,Female,Borderlands,15,15,15,13,12,70
