Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-10-22 22:18:16,Human,Channeler,Female,Cairhien,12,17,15,19,16,79
2013-10-22 22:15:01,Human,Channeler,Female,Cairhien,16,15,18,16,13,78
2013-10-17 22:58:13,Human,Channeler,Female,Cairhien,17,15,16,14,14,76
2013-10-17 22:55:37,Human,Channeler,Female,Cairhien,15,15,13,18,12,73
2013-10-17 22:52:08,Human,Channeler,Female,Cairhien,15,16,17,15,13,76
2013-10-17 22:47:12,Human,Channeler,Female,Cairhien,17,18,14,17,10,76
2013-10-09 20:37:10,Human,Channeler,Female,Cairhien,13,18,19,14,10,74
2013-10-09 20:33:29,Human,Channeler,Female,Cairhien,9,19,16,14,13,71
2013-10-09 20:30:24,Human,Channeler,Female,Cairhien,12,16,19,12,11,70
2013-10-09 20:26:19,Human,Channeler,Female,Cairhien,13,19,17,12,9,70
2013-10-09 20:23:25,Human,Channeler,Female,Cairhien,13,18,19,13,9,72
2013-10-09 20:19:49,Human,Channeler,Female,Cairhien,14,17,18,11,11,71
2013-10-09 20:11:25,Human,Channeler,Female,Cairhien,13,18,18,11,10,70
2013-10-09 20:09:09,Human,Channeler,Female,Cairhien,13,18,15,13,12,71
