Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-10-10 17:37:07,Human,Channeler,Female,Mayene,13,18,17,14,14,76
2013-10-09 23:42:46,Human,Channeler,Female,Mayene,14,17,15,16,9,71
2013-10-09 23:36:10,Human,Channeler,Female,Mayene,10,18,19,16,9,72
2013-10-09 23:33:38,Human,Channeler,Female,Mayene,12,18,18,13,10,71
2013-10-09 23:24:25,Human,Channeler,Female,Mayene,14,18,16,15,12,75
2013-10-09 23:18:10,Human,Channeler,Female,Mayene,10,19,19,14,10,72
2013-10-09 23:12:57,Human,Channeler,Female,Mayene,13,19,15,14,12,73
2013-10-09 23:10:29,Human,Channeler,Female,Mayene,10,17,18,14,11,70
2013-10-09 23:03:27,Human,Channeler,Female,Mayene,10,19,19,13,9,70
2013-10-09 23:00:07,Human,Channeler,Female,Mayene,10,19,17,14,13,73
2013-10-09 22:55:43,Human,Channeler,Female,Mayene,10,19,17,13,13,72
2013-10-09 22:52:06,Human,Channeler,Female,Mayene,12,19,17,14,10,72
2013-10-09 22:45:20,Human,Channeler,Female,Mayene,10,18,19,15,11,73
2013-10-09 22:41:43,Human,Channeler,Female,Mayene,9,19,13,17,14,72
2013-10-09 22:38:07,Human,Channeler,Female,Mayene,9,18,18,15,10,70
2013-10-09 22:35:04,Human,Channeler,Female,Mayene,12,18,19,11,10,70
2013-10-09 22:30:21,Human,Channeler,Female,Mayene,12,19,19,16,14,80
2013-10-09 22:26:26,Human,Channeler,Female,Mayene,10,19,18,13,12,72
2013-10-09 22:21:41,Human,Channeler,Female,Mayene,10,19,18,14,12,73
2013-10-09 22:17:41,Human,Channeler,Female,Mayene,12,18,18,15,10,73
2013-10-09 22:13:53,Human,Channeler,Female,Mayene,9,19,18,16,9,71
2013-10-09 22:09:51,Human,Channeler,Female,Mayene,14,19,19,13,9,74
2013-10-09 22:06:38,Human,Channeler,Female,Mayene,11,19,15,13,14,72
2013-10-09 22:03:42,Human,Channeler,Female,Mayene,10,19,14,16,12,71
2013-10-09 21:59:34,Human,Channeler,Female,Mayene,11,19,16,12,12,70
2013-10-09 21:55:43,Human,Channeler,Female,Mayene,12,19,18,12,10,71
2013-10-09 21:49:18,Human,Channeler,Female,Mayene,9,19,18,11,14,71
2013-10-09 21:46:31,Human,Channeler,Female,Mayene,10,18,17,13,12,70
2013-10-09 21:42:44,Human,Channeler,Female,Mayene,10,19,17,14,10,70
2013-10-09 21:39:57,Human,Channeler,Female,Mayene,11,19,19,13,14,76
2013-10-09 21:37:18,Human,Channeler,Female,Mayene,9,19,19,14,11,72
2013-10-09 21:34:26,Human,Channeler,Female,Mayene,11,19,14,16,12,72
2013-10-09 21:29:41,Human,Channeler,Female,Mayene,11,18,16,11,14,70
2013-10-09 21:27:48,Human,Channeler,Female,Mayene,14,19,19,14,11,77
2013-10-09 21:25:27,Human,Channeler,Female,Mayene,12,19,19,17,10,77
2013-10-09 21:22:46,Human,Channeler,Female,Mayene,14,18,17,15,9,73
2013-10-09 21:19:15,Human,Channeler,Female,Mayene,11,19,19,10,13,72
2013-10-09 21:16:23,Human,Channeler,Female,Mayene,12,18,13,15,14,72
2013-10-09 21:13:35,Human,Channeler,Female,Mayene,14,19,16,11,10,70
2013-10-09 21:09:13,Human,Channeler,Female,Mayene,10,19,18,16,9,72
2013-10-09 21:06:38,Human,Channeler,Female,Mayene,10,19,16,13,14,72
2013-10-09 21:01:50,Human,Channeler,Female,Mayene,11,19,19,13,10,72
2013-10-09 20:58:01,Human,Channeler,Female,Mayene,13,19,18,11,11,72
2013-10-09 20:53:38,Human,Channeler,Female,Mayene,13,18,19,17,9,76
2013-10-09 20:50:10,Human,Channeler,Female,Mayene,12,19,15,15,10,71
2013-10-09 20:47:30,Human,Channeler,Female,Mayene,11,19,17,16,11,74
2013-10-09 20:44:08,Human,Channeler,Female,Mayene,10,18,16,17,9,70
2013-10-09 20:41:15,Human,Channeler,Female,Mayene,14,19,16,12,14,75
2013-09-19 18:56:10,Human,Channeler,Male,Mayene,12,19,16,13,14,74
2013-09-19 18:56:09,Human,Channeler,Male,Mayene,14,19,18,14,9,74
2013-09-19 18:56:09,Human,Channeler,Male,Mayene,12,18,17,14,10,71
2013-09-19 18:56:08,Human,Channeler,Male,Mayene,11,19,19,13,14,76
2013-09-19 18:56:08,Human,Channeler,Male,Mayene,11,19,17,13,14,74
2013-09-19 18:56:06,Human,Channeler,Male,Mayene,12,19,15,12,13,71
2013-09-19 18:56:06,Human,Channeler,Male,Mayene,14,17,19,17,10,77
2013-09-19 18:56:06,Human,Channeler,Male,Mayene,11,19,17,15,10,72
2013-09-19 18:56:05,Human,Channeler,Male,Mayene,9,18,19,14,10,70
2013-09-19 18:56:05,Human,Channeler,Male,Mayene,9,19,16,14,14,72
2013-09-19 18:56:04,Human,Channeler,Male,Mayene,9,18,16,15,12,70
2013-09-19 18:56:04,Human,Channeler,Male,Mayene,11,19,16,12,12,70
2013-09-19 18:56:03,Human,Channeler,Male,Mayene,9,18,19,15,13,74
2013-09-19 18:56:02,Human,Channeler,Male,Mayene,13,18,14,16,14,75
2013-09-19 18:56:02,Human,Channeler,Male,Mayene,13,18,16,12,11,70
