Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-10-21 00:46:19,Human,Channeler,Female,Tear,15,19,16,12,12,74
2013-10-21 00:43:58,Human,Channeler,Female,Tear,15,17,17,11,11,71
2013-10-21 00:40:30,Human,Channeler,Female,Tear,13,19,17,12,10,71
2013-10-21 00:37:11,Human,Channeler,Female,Tear,13,19,17,13,13,75
2013-10-21 00:34:23,Human,Channeler,Female,Tear,15,16,19,13,11,74
2013-10-21 00:32:34,Human,Channeler,Female,Tear,13,19,17,13,13,75
2013-10-21 00:29:51,Human,Channeler,Female,Tear,12,18,18,11,11,70
2013-10-21 00:25:37,Human,Channeler,Female,Tear,14,17,18,10,11,70
2013-10-21 00:22:42,Human,Channeler,Female,Tear,14,19,17,13,14,77
2013-10-21 00:20:08,Human,Channeler,Female,Tear,15,18,18,11,11,73
2013-10-21 00:17:27,Human,Channeler,Female,Tear,15,16,19,11,11,72
2013-10-21 00:14:29,Human,Channeler,Female,Tear,15,17,16,9,15,72
2013-10-21 00:11:39,Human,Channeler,Female,Tear,14,17,17,15,13,76
2013-10-21 00:07:27,Human,Channeler,Female,Tear,13,19,17,11,11,71
2013-10-15 19:01:00,Human,Channeler,Male,Tear,13,18,17,9,13,70
2013-10-15 18:55:35,Human,Channeler,Male,Tear,12,19,19,14,11,75
2013-10-15 18:51:29,Human,Channeler,Male,Tear,15,18,17,11,9,70
2013-10-15 18:45:21,Human,Channeler,Male,Tear,13,18,19,11,11,72
2013-10-15 18:38:33,Human,Channeler,Male,Tear,13,17,17,9,14,70
2013-10-15 18:34:51,Human,Channeler,Male,Tear,15,16,16,12,12,71
2013-10-15 18:29:24,Human,Channeler,Male,Tear,17,16,15,13,11,72
