Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-11-07 00:45:18,Human,Hunter,Male,Amadicia,16,14,12,17,16,75
2013-11-07 00:39:13,Human,Hunter,Male,Amadicia,14,14,15,13,17,73
2013-11-06 01:36:49,Human,Hunter,Male,Amadicia,18,16,14,10,19,77
2013-11-06 01:29:17,Human,Hunter,Male,Amadicia,12,16,13,14,16,71
2013-11-06 01:11:15,Human,Hunter,Male,Amadicia,14,13,14,14,16,71
2013-11-06 01:05:12,Human,Hunter,Male,Amadicia,15,15,16,13,19,78
2013-11-06 01:00:01,Human,Hunter,Male,Amadicia,14,14,12,13,17,70
2013-11-06 00:42:38,Human,Hunter,Male,Amadicia,14,13,13,13,19,72
2013-11-06 00:33:42,Human,Hunter,Male,Amadicia,14,16,10,13,17,70
2013-11-06 00:27:12,Human,Hunter,Male,Amadicia,14,13,14,14,15,70
2013-11-06 00:19:20,Human,Hunter,Male,Amadicia,12,13,15,13,18,71
2013-11-05 01:22:23,Human,Hunter,Male,Amadicia,15,13,13,14,16,71
2013-11-05 01:10:09,Human,Hunter,Male,Amadicia,16,12,15,12,17,72
2013-11-05 01:00:00,Human,Hunter,Male,Amadicia,15,13,10,15,17,70
2013-11-05 00:41:28,Human,Hunter,Male,Amadicia,14,13,15,14,16,72
2013-11-05 00:34:04,Human,Hunter,Male,Amadicia,14,13,15,13,16,71
2013-11-05 00:25:58,Human,Hunter,Male,Amadicia,16,13,13,13,16,71
2013-11-05 00:20:44,Human,Hunter,Male,Amadicia,14,15,10,15,17,71
2013-11-05 00:09:42,Human,Hunter,Male,Amadicia,14,15,12,13,17,71
2013-11-05 00:02:43,Human,Hunter,Male,Amadicia,14,13,15,16,16,74
2013-11-04 23:55:55,Human,Hunter,Male,Amadicia,18,11,12,13,19,73
2013-11-04 23:49:16,Human,Hunter,Male,Amadicia,14,13,12,17,16,72
2013-11-04 23:38:34,Human,Hunter,Male,Amadicia,14,15,13,11,18,71
2013-11-04 02:48:38,Human,Hunter,Male,Amadicia,14,13,12,15,16,70
2013-11-04 02:14:48,Human,Hunter,Male,Amadicia,14,13,12,14,18,71
2013-11-04 01:56:17,Human,Hunter,Male,Amadicia,15,15,12,10,18,70
2013-11-03 18:52:51,Human,Hunter,Male,Amadicia,17,13,12,14,16,72
2013-11-03 18:25:07,Human,Hunter,Male,Amadicia,15,13,15,14,16,73
2013-11-03 15:12:47,Human,Hunter,Male,Amadicia,14,16,10,15,16,71
2013-11-03 14:49:46,Human,Hunter,Male,Amadicia,16,13,12,13,19,73
2013-11-02 23:31:50,Human,Hunter,Male,Amadicia,16,15,14,13,15,73
2013-11-02 23:19:53,Human,Hunter,Male,Amadicia,14,15,13,11,18,71
2013-11-02 22:59:42,Human,Hunter,Male,Amadicia,16,15,10,13,16,70
2013-11-02 22:08:59,Human,Hunter,Male,Amadicia,17,15,12,13,13,70
2013-11-02 21:53:54,Human,Hunter,Male,Amadicia,16,13,12,13,16,70
2013-11-02 21:26:03,Human,Hunter,Male,Amadicia,14,15,11,13,17,70
2013-11-02 18:19:27,Human,Hunter,Male,Amadicia,14,16,12,13,16,71
2013-11-02 14:51:10,Human,Hunter,Male,Amadicia,16,13,12,15,16,72
2013-11-02 01:59:32,Human,Hunter,Male,Amadicia,16,14,14,13,16,73
2013-11-02 01:42:04,Human,Hunter,Male,Amadicia,15,13,14,13,16,71
2013-11-02 00:52:53,Human,Hunter,Male,Amadicia,16,15,12,11,16,70
2013-11-01 23:42:40,Human,Hunter,Male,Amadicia,14,14,13,17,16,74
2013-11-01 23:07:03,Human,Hunter,Male,Amadicia,13,13,13,15,16,70
2013-11-01 22:43:05,Human,Hunter,Male,Amadicia,15,13,12,14,18,72
2013-11-01 02:09:16,Human,Hunter,Male,Amadicia,14,13,12,16,15,70
2013-11-01 01:36:25,Human,Hunter,Male,Amadicia,14,15,9,16,16,70
2013-11-01 01:09:54,Human,Hunter,Male,Amadicia,14,13,13,14,17,71
2013-11-01 00:49:02,Human,Hunter,Male,Amadicia,17,14,14,13,16,74
2013-10-20 20:54:08,Human,Hunter,Male,Amadicia,15,16,16,11,16,74
2013-10-20 20:51:19,Human,Hunter,Male,Amadicia,12,19,17,11,13,72
