Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-10-20 19:03:57,Human,Hunter,Male,Andor,15,15,15,15,10,70
2013-10-20 19:01:56,Human,Hunter,Male,Andor,15,16,14,15,14,74
2013-10-20 18:58:39,Human,Hunter,Male,Andor,15,14,13,14,14,70
2013-10-20 18:53:27,Human,Hunter,Male,Andor,15,15,13,15,14,72
2013-10-20 18:49:26,Human,Hunter,Male,Andor,15,16,11,12,17,71
2013-10-20 18:47:15,Human,Hunter,Male,Andor,18,17,13,13,15,76
2013-10-20 18:44:49,Human,Hunter,Male,Andor,15,16,13,15,14,73
2013-10-20 18:42:43,Human,Hunter,Male,Andor,17,15,12,17,12,73
2013-10-20 18:40:02,Human,Hunter,Male,Andor,15,14,13,13,16,71
2013-10-20 18:36:55,Human,Hunter,Male,Andor,15,16,15,17,13,76
2013-10-20 18:33:11,Human,Hunter,Male,Andor,15,12,12,15,17,71
2013-10-20 18:30:00,Human,Hunter,Male,Andor,15,14,13,15,15,72
2013-10-20 18:27:39,Human,Hunter,Male,Andor,15,18,13,14,12,72
2013-10-20 18:25:35,Human,Hunter,Male,Andor,15,13,14,15,14,71
2013-10-20 18:23:21,Human,Hunter,Male,Andor,16,14,15,17,15,77
2013-10-20 18:21:13,Human,Hunter,Male,Andor,18,14,15,14,12,73
2013-10-20 18:19:19,Human,Hunter,Male,Andor,15,12,14,14,16,71
2013-10-20 18:17:22,Human,Hunter,Male,Andor,15,13,15,16,14,73
2013-10-20 18:14:48,Human,Hunter,Male,Andor,15,16,13,16,16,76
2013-10-20 18:12:21,Human,Hunter,Male,Andor,17,13,11,17,15,73
2013-10-20 18:09:17,Human,Hunter,Male,Andor,18,14,13,13,15,73
2013-10-20 18:05:08,Human,Hunter,Male,Andor,16,13,15,15,12,71
