Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-26 18:11:03,Human,Hunter,Female,Ghealdan,13,16,16,10,16,71
2013-09-24 20:45:45,Human,Hunter,Female,Ghealdan,13,16,16,10,16,71
2013-09-24 20:43:36,Human,Hunter,Female,Ghealdan,13,16,14,16,13,72
2013-09-24 20:42:11,Human,Hunter,Female,Ghealdan,17,14,10,13,17,71
2013-09-24 20:40:58,Human,Hunter,Female,Ghealdan,13,14,14,14,16,71
2013-09-24 19:56:15,Human,Hunter,Female,Ghealdan,14,14,14,17,13,72
2013-09-24 19:53:54,Human,Hunter,Female,Ghealdan,13,16,14,14,14,71
2013-09-24 19:52:20,Human,Hunter,Female,Ghealdan,16,13,18,16,16,79
2013-09-24 19:50:22,Human,Hunter,Female,Ghealdan,14,14,16,15,16,75
2013-09-24 19:47:55,Human,Hunter,Female,Ghealdan,16,14,14,13,15,72
2013-09-24 19:46:10,Human,Hunter,Female,Ghealdan,13,13,15,16,16,73
2013-09-24 19:43:43,Human,Hunter,Female,Ghealdan,13,16,14,16,15,74
2013-09-24 19:41:41,Human,Hunter,Female,Ghealdan,13,13,16,15,16,73
2013-09-24 19:39:47,Human,Hunter,Female,Ghealdan,14,14,15,16,15,74
2013-09-24 16:00:56,Human,Hunter,Male,Ghealdan,15,17,15,16,11,74
2013-09-24 16:00:39,Human,Hunter,Male,Ghealdan,15,18,14,14,13,74
2013-09-24 16:00:25,Human,Hunter,Male,Ghealdan,15,14,16,13,13,71
2013-09-24 16:00:04,Human,Hunter,Male,Ghealdan,12,15,18,14,13,72
2013-09-26 18:11:03,Human,Hunter,Female,Ghealdan,13,16,16,10,16,71
2013-09-24 20:45:45,Human,Hunter,Female,Ghealdan,13,16,16,10,16,71
2013-09-24 20:43:36,Human,Hunter,Female,Ghealdan,13,16,14,16,13,72
2013-09-24 20:42:11,Human,Hunter,Female,Ghealdan,17,14,10,13,17,71
2013-09-24 20:40:58,Human,Hunter,Female,Ghealdan,13,14,14,14,16,71
2013-09-24 19:56:15,Human,Hunter,Female,Ghealdan,14,14,14,17,13,72
2013-09-24 19:53:54,Human,Hunter,Female,Ghealdan,13,16,14,14,14,71
2013-09-24 19:52:20,Human,Hunter,Female,Ghealdan,16,13,18,16,16,79
2013-09-24 19:50:22,Human,Hunter,Female,Ghealdan,14,14,16,15,16,75
2013-09-24 19:47:55,Human,Hunter,Female,Ghealdan,16,14,14,13,15,72
2013-09-24 19:46:10,Human,Hunter,Female,Ghealdan,13,13,15,16,16,73
2013-09-24 19:43:43,Human,Hunter,Female,Ghealdan,13,16,14,16,15,74
2013-09-24 19:41:41,Human,Hunter,Female,Ghealdan,13,13,16,15,16,73
2013-09-24 19:39:47,Human,Hunter,Female,Ghealdan,14,14,15,16,15,74
2013-09-24 16:00:56,Human,Hunter,Male,Ghealdan,15,17,15,16,11,74
2013-09-24 16:00:39,Human,Hunter,Male,Ghealdan,15,18,14,14,13,74
2013-09-24 16:00:25,Human,Hunter,Male,Ghealdan,15,14,16,13,13,71
2013-09-24 16:00:04,Human,Hunter,Male,Ghealdan,12,15,18,14,13,72
