Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-06-15 01:13:53,Human,Hunter,Male,Illian,19,12,12,18,16,77
2014-05-11 17:02:49,Human,Hunter,Male,Illian,11,17,19,13,14,74
2014-04-13 18:23:17,Human,Hunter,Male,Illian,17,13,13,15,14,72
2014-04-13 18:21:02,Human,Hunter,Male,Illian,13,17,14,18,10,72
2014-04-13 18:18:05,Human,Hunter,Male,Illian,13,17,13,19,14,76
2014-04-13 18:15:28,Human,Hunter,Male,Illian,13,14,13,16,16,72
2014-04-13 18:12:19,Human,Hunter,Male,Illian,16,17,16,16,15,80
2014-04-12 13:29:49,Human,Hunter,Male,Illian,13,17,14,15,16,75
2014-04-12 13:25:44,Human,Hunter,Male,Illian,13,14,14,16,18,75
2014-04-12 13:23:49,Human,Hunter,Male,Illian,13,14,15,16,16,74
2014-04-12 13:21:51,Human,Hunter,Male,Illian,13,14,14,19,13,73
2014-04-12 13:19:00,Human,Hunter,Male,Illian,16,18,15,16,12,77
2014-04-12 13:15:56,Human,Hunter,Male,Illian,14,14,16,16,17,77
2014-04-12 13:13:29,Human,Hunter,Male,Illian,16,14,13,17,14,74
2014-04-11 16:01:55,Human,Hunter,Male,Illian,13,14,13,16,14,70
2014-04-11 15:57:43,Human,Hunter,Male,Illian,13,14,14,19,15,75
2014-04-11 15:55:48,Human,Hunter,Male,Illian,14,11,16,17,14,72
2014-04-11 15:53:34,Human,Hunter,Male,Illian,15,16,11,19,14,75
2014-04-11 15:51:42,Human,Hunter,Male,Illian,13,14,14,17,14,72
2014-04-11 15:47:21,Human,Hunter,Male,Illian,15,17,12,19,14,77
2014-04-11 15:43:00,Human,Hunter,Male,Illian,13,16,14,13,17,73
2014-04-11 15:40:36,Human,Hunter,Male,Illian,13,13,14,16,14,70
2014-04-11 15:38:27,Human,Hunter,Male,Illian,14,17,13,12,14,70
2014-04-11 15:33:03,Human,Hunter,Male,Illian,13,17,17,16,14,77
2014-04-11 15:31:04,Human,Hunter,Male,Illian,13,12,14,16,17,72
2014-04-11 15:28:09,Human,Hunter,Male,Illian,17,13,18,18,14,80
2014-04-11 15:25:26,Human,Hunter,Male,Illian,17,13,16,16,16,78
2014-04-11 15:22:27,Human,Hunter,Male,Illian,13,14,13,18,13,71
2014-04-11 15:20:25,Human,Hunter,Male,Illian,10,15,15,19,16,75
2014-04-11 14:22:11,Human,Hunter,Male,Illian,10,17,14,16,14,71
2014-04-11 14:18:25,Human,Hunter,Male,Illian,16,18,14,16,14,78
2014-04-11 14:16:24,Human,Hunter,Male,Illian,13,14,15,18,17,77
2014-04-11 14:13:05,Human,Hunter,Male,Illian,13,13,15,18,15,74
2014-04-11 14:11:23,Human,Hunter,Male,Illian,13,14,13,15,17,72
2014-04-11 14:08:58,Human,Hunter,Male,Illian,17,14,14,16,16,77
2014-04-11 14:06:26,Human,Hunter,Male,Illian,16,12,14,16,15,73
