Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-05-20 02:37:25,Human,Hunter,Male,Mayene,12,19,13,16,15,75
2014-05-20 02:34:28,Human,Hunter,Male,Mayene,12,15,16,15,12,70
2014-05-20 02:31:58,Human,Hunter,Male,Mayene,15,16,16,15,13,75
2014-05-20 02:29:08,Human,Hunter,Male,Mayene,12,16,16,16,13,73
2014-05-20 02:26:49,Human,Hunter,Male,Mayene,12,18,13,16,13,72
2014-05-20 02:23:33,Human,Hunter,Male,Mayene,11,19,16,19,13,78
2014-05-20 02:19:37,Human,Hunter,Male,Mayene,12,19,16,15,15,77
2014-04-17 07:34:24,Human,Hunter,Male,Mayene,12,17,15,13,15,72
2014-04-17 07:29:55,Human,Hunter,Male,Mayene,12,16,17,15,17,77
2014-04-17 07:28:53,Human,Hunter,Male,Mayene,14,12,15,16,15,72
2014-04-17 07:23:25,Human,Hunter,Male,Mayene,16,15,12,15,13,71
2014-04-17 07:20:39,Human,Hunter,Male,Mayene,15,19,14,15,15,78
2014-04-17 07:18:09,Human,Hunter,Male,Mayene,16,15,15,16,15,77
2014-04-17 07:15:43,Human,Hunter,Male,Mayene,13,16,13,15,14,71
2014-04-17 07:12:27,Human,Hunter,Male,Mayene,12,15,14,17,17,75
