Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-19 17:51:21,Human,Hunter,Male,Tarabon,18,11,16,18,13,76
2013-09-19 17:51:21,Human,Hunter,Male,Tarabon,14,14,13,18,13,72
2013-09-19 17:51:20,Human,Hunter,Male,Tarabon,14,11,15,19,13,72
2013-09-19 17:51:20,Human,Hunter,Male,Tarabon,17,11,15,16,13,72
2013-09-19 17:51:19,Human,Hunter,Male,Tarabon,14,11,16,15,16,72
2013-09-19 17:51:18,Human,Hunter,Male,Tarabon,18,12,12,18,14,74
2013-09-19 17:51:18,Human,Hunter,Male,Tarabon,17,14,12,19,13,75
2013-09-19 17:51:17,Human,Hunter,Male,Tarabon,17,11,12,19,13,72
2013-09-19 17:51:16,Human,Hunter,Male,Tarabon,14,14,12,19,13,72
2013-09-19 17:51:16,Human,Hunter,Male,Tarabon,17,15,12,15,12,71
2013-09-19 17:51:15,Human,Hunter,Male,Tarabon,16,14,12,16,16,74
2013-09-19 17:51:15,Human,Hunter,Male,Tarabon,17,10,12,15,17,71
2013-09-19 17:51:14,Human,Hunter,Male,Tarabon,15,11,16,19,13,74
2013-09-19 17:51:13,Human,Hunter,Male,Tarabon,13,11,12,19,16,71
2013-09-19 17:51:13,Human,Hunter,Male,Tarabon,14,14,15,18,13,74
2013-09-19 17:51:12,Human,Hunter,Male,Tarabon,14,11,14,18,14,71
2013-09-19 17:51:12,Human,Hunter,Male,Tarabon,16,12,12,16,14,70
2013-09-19 17:51:11,Human,Hunter,Male,Tarabon,13,14,15,19,17,78
2013-09-19 17:51:11,Human,Hunter,Male,Tarabon,17,11,11,19,13,71
2013-09-19 17:51:10,Human,Hunter,Male,Tarabon,17,14,14,16,16,77
2013-09-19 17:51:09,Human,Hunter,Male,Tarabon,14,10,14,19,15,72
2013-09-19 17:51:08,Human,Hunter,Male,Tarabon,13,14,16,19,13,75
2013-09-19 17:51:08,Human,Hunter,Male,Tarabon,13,14,12,18,13,70
2013-09-19 17:51:07,Human,Hunter,Male,Tarabon,14,11,14,19,13,71
2013-09-19 17:51:07,Human,Hunter,Male,Tarabon,14,11,16,17,13,71
2013-09-19 17:51:06,Human,Hunter,Male,Tarabon,18,12,12,16,14,72
2013-09-19 17:51:06,Human,Hunter,Male,Tarabon,18,13,11,19,16,77
2013-09-19 17:51:06,Human,Hunter,Male,Tarabon,14,11,12,18,15,70
2013-09-19 17:51:05,Human,Hunter,Male,Tarabon,17,12,12,16,16,73
2013-09-19 17:51:04,Human,Hunter,Male,Tarabon,17,11,12,17,13,70
2013-09-19 17:51:03,Human,Hunter,Male,Tarabon,15,12,12,18,16,73
2013-09-19 17:51:03,Human,Hunter,Male,Tarabon,18,11,12,16,14,71
2013-09-19 17:51:02,Human,Hunter,Male,Tarabon,13,12,13,19,13,70
2013-09-19 17:51:02,Human,Hunter,Male,Tarabon,15,15,12,16,12,70
2013-09-19 17:51:01,Human,Hunter,Male,Tarabon,14,15,16,17,14,76
2013-09-19 17:51:01,Human,Hunter,Male,Tarabon,18,11,12,15,16,72
2013-09-19 17:51:01,Human,Hunter,Male,Tarabon,18,11,14,15,14,72
2013-09-19 17:51:00,Human,Hunter,Male,Tarabon,18,11,15,16,12,72
2013-09-19 17:50:59,Human,Hunter,Male,Tarabon,13,13,12,15,17,70
2013-09-19 17:50:59,Human,Hunter,Male,Tarabon,14,11,12,19,17,73
2013-09-19 17:50:58,Human,Hunter,Male,Tarabon,17,15,14,16,12,74
2013-09-19 17:50:58,Human,Hunter,Male,Tarabon,17,11,15,19,14,76
2013-09-19 17:50:57,Human,Hunter,Male,Tarabon,15,11,13,18,13,70
2013-09-19 17:50:57,Human,Hunter,Male,Tarabon,18,15,15,17,15,80
2013-09-19 17:50:57,Human,Hunter,Male,Tarabon,14,15,16,19,13,77
2013-09-19 17:50:56,Human,Hunter,Male,Tarabon,14,13,12,17,14,70
2013-09-19 17:50:55,Human,Hunter,Male,Tarabon,16,11,12,19,12,70
2013-09-19 17:50:55,Human,Hunter,Male,Tarabon,16,10,12,16,17,71
2013-09-19 17:50:54,Human,Hunter,Male,Tarabon,13,11,14,19,15,72
2013-09-19 17:50:54,Human,Hunter,Male,Tarabon,15,15,15,16,13,74
2013-09-19 17:50:53,Human,Hunter,Male,Tarabon,14,15,12,16,16,73
2013-09-19 17:50:53,Human,Hunter,Male,Tarabon,13,11,15,18,13,70
2013-09-19 17:50:53,Human,Hunter,Male,Tarabon,14,12,12,16,16,70
2013-09-19 17:50:52,Human,Hunter,Male,Tarabon,14,11,15,16,15,71
2013-09-19 17:50:51,Human,Hunter,Male,Tarabon,14,13,15,19,13,74
2013-09-19 17:50:51,Human,Hunter,Male,Tarabon,13,14,13,19,17,76
2013-09-19 17:50:51,Human,Hunter,Male,Tarabon,15,11,16,16,13,71
2013-09-19 17:50:50,Human,Hunter,Male,Tarabon,14,11,16,18,17,76
2013-09-19 17:50:49,Human,Hunter,Male,Tarabon,17,11,12,19,13,72
2013-09-19 17:50:49,Human,Hunter,Male,Tarabon,13,11,14,19,13,70
2013-09-19 17:50:49,Human,Hunter,Male,Tarabon,14,13,12,19,13,71
2013-09-19 17:50:48,Human,Hunter,Male,Tarabon,14,11,14,17,15,71
2013-09-19 17:50:48,Human,Hunter,Male,Tarabon,14,15,15,16,13,73
2013-09-19 17:50:47,Human,Hunter,Male,Tarabon,18,14,14,16,13,75
2013-09-19 17:50:47,Human,Hunter,Male,Tarabon,14,11,12,18,16,71
2013-09-19 17:50:46,Human,Hunter,Male,Tarabon,18,15,15,16,17,81
2013-09-19 17:50:46,Human,Hunter,Male,Tarabon,15,14,13,17,16,75
2013-09-19 17:50:45,Human,Hunter,Male,Tarabon,13,15,13,16,15,72
2013-09-19 17:50:45,Human,Hunter,Male,Tarabon,13,15,13,19,13,73
2013-09-19 17:50:45,Human,Hunter,Male,Tarabon,13,15,12,19,13,72
2013-09-19 17:50:44,Human,Hunter,Male,Tarabon,14,11,15,16,17,73
2013-09-19 17:50:44,Human,Hunter,Male,Tarabon,17,10,15,16,13,71
2013-09-19 17:50:44,Human,Hunter,Male,Tarabon,17,10,12,16,16,71
2013-09-19 17:50:43,Human,Hunter,Male,Tarabon,15,14,16,17,17,79
2013-09-19 17:50:43,Human,Hunter,Male,Tarabon,14,13,14,16,13,70
2013-09-19 17:50:42,Human,Hunter,Male,Tarabon,16,15,11,17,12,71
2013-09-19 17:50:42,Human,Hunter,Male,Tarabon,17,11,16,16,12,72
2013-09-19 17:50:41,Human,Hunter,Male,Tarabon,17,11,12,16,17,73
2013-09-19 17:50:41,Human,Hunter,Male,Tarabon,16,11,12,16,15,70
2013-09-19 17:50:41,Human,Hunter,Male,Tarabon,16,12,13,19,13,73
2013-09-19 17:50:40,Human,Hunter,Male,Tarabon,15,13,14,16,13,71
2013-09-19 17:50:39,Human,Hunter,Male,Tarabon,16,12,15,18,12,73
2013-09-19 17:50:39,Human,Hunter,Male,Tarabon,14,15,16,16,15,76
2013-09-19 17:50:38,Human,Hunter,Male,Tarabon,14,12,12,18,16,72
2013-09-19 17:50:36,Human,Hunter,Male,Tarabon,17,11,14,19,14,75
2013-09-19 17:50:36,Human,Hunter,Male,Tarabon,14,14,12,19,13,72
2013-09-19 17:50:35,Human,Hunter,Male,Tarabon,18,11,12,17,16,74
2013-09-19 17:50:35,Human,Hunter,Male,Tarabon,16,14,15,19,13,77
2013-09-19 17:50:34,Human,Hunter,Male,Tarabon,18,11,14,19,15,77
2013-09-19 17:50:33,Human,Hunter,Male,Tarabon,14,15,14,15,13,71
