Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-10-17 23:39:11,Human,Hunter,Male,Two Rivers,16,12,14,14,19,75
2013-10-17 23:36:25,Human,Hunter,Male,Two Rivers,16,12,14,14,19,75
2013-10-17 23:27:05,Human,Hunter,Male,Two Rivers,19,12,11,12,19,73
2013-10-17 23:22:05,Human,Hunter,Male,Two Rivers,16,14,17,12,13,72
2013-10-17 23:17:35,Human,Hunter,Male,Two Rivers,15,13,11,15,16,70
2013-10-17 23:12:53,Human,Hunter,Male,Two Rivers,15,16,18,14,17,80
2013-10-17 23:07:16,Human,Hunter,Male,Two Rivers,17,12,13,17,15,74
2013-10-17 23:02:41,Human,Hunter,Male,Two Rivers,17,15,14,14,15,75
2013-10-17 22:56:54,Human,Hunter,Male,Two Rivers,14,15,15,10,17,71
2013-10-17 22:52:31,Human,Hunter,Male,Two Rivers,15,9,17,13,19,73
2013-10-17 22:46:37,Human,Hunter,Male,Two Rivers,13,11,14,15,18,71
2013-10-17 22:42:08,Human,Hunter,Male,Two Rivers,16,13,14,13,16,72
2013-10-17 22:38:26,Human,Hunter,Male,Two Rivers,19,14,14,13,12,72
2013-10-17 22:34:39,Human,Hunter,Male,Two Rivers,18,12,14,14,13,71
2013-10-17 22:31:00,Human,Hunter,Male,Two Rivers,15,16,15,14,18,78
2013-10-17 22:28:05,Human,Hunter,Male,Two Rivers,17,10,12,15,16,70
2013-10-17 22:24:03,Human,Hunter,Male,Two Rivers,11,14,14,13,19,71
2013-10-17 22:20:16,Human,Hunter,Male,Two Rivers,14,14,16,13,14,71
2013-10-17 22:16:41,Human,Hunter,Male,Two Rivers,17,13,15,13,16,74
2013-10-17 22:13:03,Human,Hunter,Male,Two Rivers,18,9,16,11,18,72
2013-10-17 22:09:16,Human,Hunter,Male,Two Rivers,18,12,15,11,15,71
2013-10-17 22:06:34,Human,Hunter,Male,Two Rivers,15,13,16,13,14,71
2013-10-17 22:03:34,Human,Hunter,Male,Two Rivers,15,14,15,13,18,75
2013-10-17 22:00:26,Human,Hunter,Male,Two Rivers,14,15,14,12,18,73
2013-10-17 21:56:03,Human,Hunter,Male,Two Rivers,18,12,17,9,15,71
2013-10-17 21:52:45,Human,Hunter,Male,Two Rivers,13,13,13,13,18,70
2013-10-17 21:49:44,Human,Hunter,Male,Two Rivers,18,12,12,13,15,70
2013-10-17 21:46:22,Human,Hunter,Male,Two Rivers,17,14,15,17,15,78
2013-10-17 21:33:20,Human,Hunter,Male,Two Rivers,16,12,15,15,18,76
2013-10-17 21:28:23,Human,Hunter,Male,Two Rivers,16,14,14,14,16,74
2013-10-17 21:25:01,Human,Hunter,Male,Two Rivers,11,12,16,16,15,70
2013-10-17 21:22:32,Human,Hunter,Male,Two Rivers,18,12,14,16,14,74
2013-10-17 21:19:44,Human,Hunter,Male,Two Rivers,19,14,14,10,17,74
2013-10-17 21:16:25,Human,Hunter,Male,Two Rivers,15,15,12,13,17,72
2013-10-17 21:12:56,Human,Hunter,Male,Two Rivers,14,15,15,12,15,71
2013-10-17 21:09:23,Human,Hunter,Male,Two Rivers,18,13,17,12,12,72
2013-10-17 21:06:33,Human,Hunter,Male,Two Rivers,17,12,18,13,15,75
2013-10-17 21:04:18,Human,Hunter,Male,Two Rivers,15,12,17,14,12,70
2013-10-17 21:00:17,Human,Hunter,Male,Two Rivers,14,9,18,16,18,75
2013-10-17 20:57:58,Human,Hunter,Male,Two Rivers,18,15,17,13,15,78
2013-10-17 20:49:57,Human,Hunter,Male,Two Rivers,13,15,16,16,14,74
2013-10-17 20:41:36,Human,Hunter,Male,Two Rivers,15,14,14,11,17,71
2013-10-17 20:35:10,Human,Hunter,Male,Two Rivers,16,12,14,16,19,77
2013-10-17 20:27:16,Human,Hunter,Male,Two Rivers,14,12,14,14,17,71
2013-10-17 20:20:55,Human,Hunter,Male,Two Rivers,14,13,14,10,19,70
2013-10-17 20:15:28,Human,Hunter,Male,Two Rivers,18,10,14,17,15,74
2013-10-17 20:09:52,Human,Hunter,Male,Two Rivers,15,11,13,13,18,70
2013-10-17 20:05:27,Human,Hunter,Male,Two Rivers,15,14,17,13,16,75
2013-10-17 19:59:58,Human,Hunter,Male,Two Rivers,17,12,13,14,18,74
2013-10-17 19:54:08,Human,Hunter,Male,Two Rivers,17,16,16,15,17,81
2013-10-17 19:48:20,Human,Hunter,Male,Two Rivers,17,10,12,16,17,72
2013-10-17 19:43:44,Human,Hunter,Male,Two Rivers,13,9,17,15,18,72
2013-10-17 19:36:46,Human,Hunter,Male,Two Rivers,17,15,14,15,18,79
2013-10-17 19:31:13,Human,Hunter,Male,Two Rivers,17,10,15,16,19,77
2013-10-17 19:25:48,Human,Hunter,Male,Two Rivers,13,14,16,16,13,72
2013-10-17 19:19:50,Human,Hunter,Male,Two Rivers,17,12,14,13,15,71
2013-10-17 19:14:55,Human,Hunter,Male,Two Rivers,15,16,14,13,12,70
2013-10-17 19:11:47,Human,Hunter,Male,Two Rivers,15,14,16,11,14,70
2013-10-17 19:07:12,Human,Hunter,Male,Two Rivers,15,15,16,10,15,71
2013-10-17 19:02:16,Human,Hunter,Male,Two Rivers,15,12,16,13,15,71
2013-10-17 18:57:52,Human,Hunter,Male,Two Rivers,19,14,17,15,15,80
2013-10-17 18:54:10,Human,Hunter,Male,Two Rivers,15,13,18,11,15,72
2013-10-17 18:49:48,Human,Hunter,Male,Two Rivers,17,12,14,12,15,70
2013-10-17 18:44:50,Human,Hunter,Male,Two Rivers,16,13,13,15,14,71
2013-10-17 18:40:37,Human,Hunter,Male,Two Rivers,19,9,12,16,17,73
2013-10-17 18:37:07,Human,Hunter,Male,Two Rivers,14,10,15,15,17,71
2013-10-17 18:33:15,Human,Hunter,Male,Two Rivers,12,12,12,16,19,71
2013-10-17 18:29:34,Human,Hunter,Male,Two Rivers,15,13,13,13,18,72
2013-10-17 18:25:10,Human,Hunter,Male,Two Rivers,15,14,16,13,15,73
2013-10-17 18:21:07,Human,Hunter,Male,Two Rivers,17,15,12,15,15,74
2013-10-17 18:17:12,Human,Hunter,Male,Two Rivers,17,14,10,16,15,72
2013-10-17 18:13:36,Human,Hunter,Male,Two Rivers,18,14,17,13,14,76
2013-10-17 18:09:37,Human,Hunter,Male,Two Rivers,18,12,14,14,18,76
2013-10-17 18:06:39,Human,Hunter,Male,Two Rivers,17,14,12,16,11,70
