Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-25 02:20:00,Human,Rogue,Male,Andor,14,15,14,15,15,73
2013-09-25 02:20:00,Human,Rogue,Male,Andor,16,13,12,18,14,73
2013-09-25 02:19:59,Human,Rogue,Male,Andor,18,14,12,17,14,75
2013-09-25 02:19:59,Human,Rogue,Male,Andor,15,14,14,14,14,71
2013-09-25 02:19:59,Human,Rogue,Male,Andor,14,14,13,17,17,75
2013-09-25 02:19:58,Human,Rogue,Male,Andor,15,15,11,17,13,71
2013-09-25 02:19:58,Human,Rogue,Male,Andor,13,12,14,19,17,75
2013-09-25 02:19:58,Human,Rogue,Male,Andor,14,12,13,19,14,72
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,14,11,16,18,73
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,12,15,19,14,74
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,14,13,17,14,72
2013-09-25 02:19:56,Human,Rogue,Male,Andor,18,14,13,17,14,76
2013-09-25 02:19:56,Human,Rogue,Male,Andor,16,14,14,17,15,76
2013-09-25 02:19:56,Human,Rogue,Male,Andor,15,14,15,15,15,74
2013-09-25 02:19:55,Human,Rogue,Male,Andor,12,14,15,18,14,73
2013-09-25 02:19:55,Human,Rogue,Male,Andor,13,12,15,19,15,74
2013-09-25 02:19:55,Human,Rogue,Male,Andor,13,15,15,17,16,76
2013-09-25 02:19:55,Human,Rogue,Male,Andor,14,13,13,16,14,70
2013-09-25 02:19:54,Human,Rogue,Male,Andor,16,16,11,19,14,76
2013-09-25 02:19:54,Human,Rogue,Male,Andor,14,17,13,15,15,74
2013-09-25 02:19:46,Human,Rogue,Male,Andor,13,14,15,17,15,74
2013-09-25 02:20:00,Human,Rogue,Male,Andor,14,15,14,15,15,73
2013-09-25 02:20:00,Human,Rogue,Male,Andor,16,13,12,18,14,73
2013-09-25 02:19:59,Human,Rogue,Male,Andor,18,14,12,17,14,75
2013-09-25 02:19:59,Human,Rogue,Male,Andor,15,14,14,14,14,71
2013-09-25 02:19:59,Human,Rogue,Male,Andor,14,14,13,17,17,75
2013-09-25 02:19:58,Human,Rogue,Male,Andor,15,15,11,17,13,71
2013-09-25 02:19:58,Human,Rogue,Male,Andor,13,12,14,19,17,75
2013-09-25 02:19:58,Human,Rogue,Male,Andor,14,12,13,19,14,72
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,14,11,16,18,73
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,12,15,19,14,74
2013-09-25 02:19:57,Human,Rogue,Male,Andor,14,14,13,17,14,72
2013-09-25 02:19:56,Human,Rogue,Male,Andor,18,14,13,17,14,76
2013-09-25 02:19:56,Human,Rogue,Male,Andor,16,14,14,17,15,76
2013-09-25 02:19:56,Human,Rogue,Male,Andor,15,14,15,15,15,74
2013-09-25 02:19:55,Human,Rogue,Male,Andor,12,14,15,18,14,73
2013-09-25 02:19:55,Human,Rogue,Male,Andor,13,12,15,19,15,74
2013-09-25 02:19:55,Human,Rogue,Male,Andor,13,15,15,17,16,76
2013-09-25 02:19:55,Human,Rogue,Male,Andor,14,13,13,16,14,70
2013-09-25 02:19:54,Human,Rogue,Male,Andor,16,16,11,19,14,76
2013-09-25 02:19:54,Human,Rogue,Male,Andor,14,17,13,15,15,74
2013-09-25 02:19:46,Human,Rogue,Male,Andor,13,14,15,17,15,74
