Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-04-10 16:17:34,Human,Rogue,Male,Borderlands,16,13,11,17,15,72
2014-04-10 16:13:23,Human,Rogue,Male,Borderlands,16,10,11,15,19,71
2014-04-10 16:10:17,Human,Rogue,Male,Borderlands,16,11,12,16,15,70
2014-04-10 16:06:34,Human,Rogue,Male,Borderlands,16,10,13,15,17,71
2014-04-09 19:28:42,Human,Rogue,Male,Borderlands,16,14,10,16,15,71
2014-04-09 19:25:14,Human,Rogue,Male,Borderlands,13,13,13,15,18,72
2014-04-09 19:21:56,Human,Rogue,Male,Borderlands,16,11,12,15,17,71
2014-04-09 19:17:48,Human,Rogue,Male,Borderlands,16,11,12,16,16,71
2014-04-09 19:10:41,Human,Rogue,Male,Borderlands,17,12,12,15,16,72
2013-10-09 18:49:37,Human,Rogue,Male,Borderlands,16,14,12,14,17,73
