Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-26 03:24:20,Human,Warrior,Male,Altara,16,13,11,19,15,74
2013-09-26 03:24:20,Human,Warrior,Male,Altara,16,11,11,15,18,71
2013-09-26 03:24:19,Human,Warrior,Male,Altara,15,13,11,16,18,73
2013-09-26 03:24:19,Human,Warrior,Male,Altara,19,11,11,15,19,75
2013-09-26 03:24:19,Human,Warrior,Male,Altara,19,9,15,19,18,80
2013-09-26 02:44:04,Human,Warrior,Male,Altara,19,13,10,18,18,78
2013-09-26 02:44:04,Human,Warrior,Male,Altara,19,15,11,18,15,78
2013-09-26 02:44:04,Human,Warrior,Male,Altara,19,11,11,15,18,74
2013-09-26 02:44:04,Human,Warrior,Male,Altara,15,14,11,19,15,74
2013-09-26 02:44:03,Human,Warrior,Male,Altara,14,11,15,14,18,72
2013-09-26 02:44:03,Human,Warrior,Male,Altara,17,11,15,15,16,74
2013-09-26 02:44:03,Human,Warrior,Male,Altara,19,12,14,15,13,73
2013-09-26 02:44:03,Human,Warrior,Male,Altara,17,11,9,18,18,73
2013-09-26 02:44:02,Human,Warrior,Male,Altara,15,10,11,17,17,70
2013-09-26 02:43:58,Human,Warrior,Male,Altara,19,12,11,19,16,77
2013-09-26 02:43:56,Human,Warrior,Male,Altara,19,10,12,16,15,72
