Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-04-16 22:57:24,Human,Warrior,Male,Cairhien,14,15,12,15,14,70
2014-04-16 22:55:06,Human,Warrior,Male,Cairhien,15,13,13,13,17,71
2014-04-16 22:52:21,Human,Warrior,Male,Cairhien,17,14,15,16,16,78
2014-04-16 22:49:32,Human,Warrior,Male,Cairhien,18,14,11,13,17,73
2014-04-16 22:47:08,Human,Warrior,Male,Cairhien,16,14,16,14,17,77
2014-04-16 22:44:58,Human,Warrior,Male,Cairhien,17,13,18,10,16,74
2014-04-16 22:43:07,Human,Warrior,Male,Cairhien,16,15,16,16,17,80
2014-04-16 22:41:06,Human,Warrior,Male,Cairhien,17,15,12,15,15,74
2014-04-16 22:39:19,Human,Warrior,Male,Cairhien,18,17,14,12,15,76
2014-04-16 22:37:19,Human,Warrior,Male,Cairhien,14,15,13,15,13,70
2014-04-16 22:34:40,Human,Warrior,Male,Cairhien,15,17,11,13,15,71
2014-04-16 22:32:49,Human,Warrior,Male,Cairhien,19,15,15,14,16,79
2014-04-16 22:30:52,Human,Warrior,Male,Cairhien,19,14,13,14,16,76
2014-04-16 22:28:53,Human,Warrior,Male,Cairhien,16,15,14,11,16,72
2014-04-16 22:26:25,Human,Warrior,Male,Cairhien,17,15,12,13,16,73
2014-04-16 22:23:25,Human,Warrior,Male,Cairhien,19,15,17,13,15,79
2014-04-16 22:17:24,Human,Warrior,Male,Cairhien,16,12,16,16,15,75
2014-04-16 22:13:55,Human,Warrior,Male,Cairhien,16,13,18,13,15,75
2014-04-16 22:10:08,Human,Warrior,Male,Cairhien,13,15,14,12,16,70
2014-04-16 22:07:42,Human,Warrior,Male,Cairhien,13,17,15,11,14,70
2014-04-16 22:05:16,Human,Warrior,Male,Cairhien,18,15,14,15,18,80
2014-04-16 21:53:27,Human,Warrior,Male,Cairhien,16,15,14,13,18,76
2014-04-16 21:49:23,Human,Warrior,Male,Cairhien,18,15,15,13,15,76
2014-04-16 21:46:43,Human,Warrior,Male,Cairhien,12,16,13,15,19,75
2014-04-16 21:44:43,Human,Warrior,Male,Cairhien,18,17,13,14,14,76
2014-04-16 21:42:13,Human,Warrior,Male,Cairhien,14,15,16,13,15,73
2014-04-16 21:40:12,Human,Warrior,Male,Cairhien,16,16,15,14,12,73
2014-04-16 21:38:06,Human,Warrior,Male,Cairhien,12,18,14,13,13,70
2014-04-16 21:36:13,Human,Warrior,Male,Cairhien,16,15,16,13,18,78
2014-04-16 21:33:20,Human,Warrior,Male,Cairhien,17,16,12,12,15,72
2014-04-16 21:27:46,Human,Warrior,Male,Cairhien,15,18,14,16,18,81
