Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-06-15 00:13:37,Human,Warrior,Male,Illian,12,18,18,14,12,74
2014-06-03 18:02:54,Human,Warrior,Female,Illian,15,14,12,19,17,77
2014-06-03 18:00:04,Human,Warrior,Female,Illian,11,18,16,19,12,76
2014-06-03 17:55:29,Human,Warrior,Female,Illian,19,16,13,19,16,83
2014-06-03 17:50:58,Human,Warrior,Female,Illian,16,14,15,14,16,75
2014-06-03 17:49:25,Human,Warrior,Female,Illian,18,15,13,14,16,76
2014-06-03 17:47:44,Human,Warrior,Female,Illian,15,14,14,15,16,74
2014-06-03 17:46:08,Human,Warrior,Female,Illian,15,14,16,15,19,79
2014-06-03 17:44:28,Human,Warrior,Female,Illian,12,14,13,15,16,70
2014-06-03 17:42:09,Human,Warrior,Female,Illian,18,14,13,14,17,76
2014-06-03 17:35:37,Human,Warrior,Female,Illian,17,13,11,15,16,72
2014-06-03 17:33:54,Human,Warrior,Female,Illian,18,14,13,19,16,80
2014-06-03 17:32:12,Human,Warrior,Female,Illian,13,14,13,15,19,74
2014-06-03 17:26:16,Human,Warrior,Female,Illian,18,15,15,17,16,81
2014-06-03 17:24:05,Human,Warrior,Female,Illian,15,14,13,15,16,73
2014-06-03 17:22:36,Human,Warrior,Female,Illian,17,14,15,19,16,81
2014-06-03 17:20:58,Human,Warrior,Female,Illian,17,14,15,15,14,75
2014-06-03 17:11:47,Human,Warrior,Female,Illian,16,14,13,16,16,75
2014-06-03 17:09:23,Human,Warrior,Female,Illian,15,15,12,15,14,71
2014-06-03 17:05:32,Human,Warrior,Female,Illian,18,18,14,15,17,82
2014-06-03 17:02:59,Human,Warrior,Female,Illian,15,14,13,15,14,71
2014-06-03 16:59:33,Human,Warrior,Female,Illian,18,18,10,16,13,75
2014-06-03 16:57:37,Human,Warrior,Female,Illian,15,12,13,15,17,72
2014-06-03 16:55:55,Human,Warrior,Female,Illian,19,14,9,17,15,74
2014-06-03 16:54:50,Human,Warrior,Female,Illian,17,14,13,18,16,78
2014-06-03 16:52:47,Human,Warrior,Female,Illian,15,14,13,15,19,76
2014-06-03 16:50:11,Human,Warrior,Female,Illian,15,13,13,15,18,74
2014-06-03 16:48:31,Human,Warrior,Female,Illian,15,16,14,15,19,79
2014-06-03 16:46:02,Human,Warrior,Female,Illian,14,18,14,15,15,76
2014-06-03 16:44:43,Human,Warrior,Female,Illian,15,14,14,18,18,79
2014-05-30 22:02:39,Human,Warrior,Female,Illian,17,14,13,18,16,78
2014-05-30 22:00:30,Human,Warrior,Female,Illian,12,14,13,14,19,72
2014-05-30 21:58:59,Human,Warrior,Female,Illian,15,13,16,18,16,78
2014-05-30 21:57:49,Human,Warrior,Female,Illian,15,16,10,15,15,71
2014-05-30 21:56:14,Human,Warrior,Female,Illian,17,14,15,13,12,71
2014-05-30 21:55:01,Human,Warrior,Female,Illian,15,15,17,16,16,79
2014-05-30 21:52:53,Human,Warrior,Female,Illian,15,16,13,14,16,74
2014-05-30 21:50:52,Human,Warrior,Female,Illian,15,18,16,15,17,81
2014-05-30 21:48:05,Human,Warrior,Female,Illian,15,16,13,15,19,78
2014-05-30 21:46:41,Human,Warrior,Female,Illian,14,14,11,16,16,71
2014-05-30 21:44:40,Human,Warrior,Female,Illian,15,12,12,15,19,73
2014-05-30 21:42:52,Human,Warrior,Female,Illian,15,14,14,14,16,73
