Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2015-04-03 22:36:29,Human,Warrior,Female,Mayene,18,17,13,12,19,79
2015-04-03 22:14:01,Human,Warrior,Female,Mayene,18,15,12,13,15,73
2015-04-03 22:06:35,Human,Warrior,Female,Mayene,17,16,11,15,14,73
2015-04-03 22:01:20,Human,Warrior,Female,Mayene,12,19,16,16,16,79
2015-04-03 21:54:41,Human,Warrior,Female,Mayene,16,17,16,14,16,79
2015-04-03 21:47:35,Human,Warrior,Female,Mayene,13,13,16,15,17,74
2015-04-03 21:41:38,Human,Warrior,Female,Mayene,16,16,10,13,15,70
2015-04-03 21:37:28,Human,Warrior,Female,Mayene,17,15,12,15,13,72
2015-04-03 21:28:53,Human,Warrior,Female,Mayene,10,17,13,16,17,73
2015-03-31 15:17:47,Human,Warrior,Female,Mayene,15,15,14,12,14,70
2015-03-31 14:34:53,Human,Warrior,Female,Mayene,13,18,10,16,17,74
2015-03-31 14:23:39,Human,Warrior,Female,Mayene,13,19,12,11,15,70
2015-03-31 14:13:10,Human,Warrior,Female,Mayene,16,19,12,15,18,80
2015-03-31 13:55:55,Human,Warrior,Female,Mayene,14,18,12,15,15,74
2015-03-31 13:50:34,Human,Warrior,Female,Mayene,13,15,13,14,15,70
2015-03-31 13:46:22,Human,Warrior,Female,Mayene,15,15,12,14,14,70
2015-03-31 02:48:57,Human,Warrior,Female,Mayene,17,15,12,15,11,70
2015-03-31 02:45:10,Human,Warrior,Female,Mayene,14,13,13,15,15,70
2015-03-31 02:40:27,Human,Warrior,Female,Mayene,18,15,12,13,14,72
2015-03-31 02:35:58,Human,Warrior,Female,Mayene,16,18,12,17,13,76
2015-03-31 02:28:17,Human,Warrior,Female,Mayene,18,14,12,13,15,72
2015-03-31 02:19:33,Human,Warrior,Female,Mayene,14,13,14,15,14,70
2015-03-31 02:11:19,Human,Warrior,Female,Mayene,16,15,11,16,18,76
2015-03-31 02:06:31,Human,Warrior,Female,Mayene,15,14,9,17,16,71
2015-03-31 02:01:55,Human,Warrior,Female,Mayene,17,13,14,17,16,77
2015-03-31 02:01:12,Human,Warrior,Female,Mayene,15,15,13,15,15,73
2014-04-17 07:08:38,Human,Warrior,Male,Mayene,11,18,15,16,12,72
