Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-06-04 14:57:04,Human,Warrior,Female,Shienar,17,12,13,13,19,74
2014-06-04 14:51:59,Human,Warrior,Female,Shienar,17,12,11,13,18,71
2014-06-04 14:48:56,Human,Warrior,Female,Shienar,18,12,11,14,17,72
2014-06-04 14:43:43,Human,Warrior,Female,Shienar,17,15,11,14,17,74
2014-06-04 14:40:23,Human,Warrior,Female,Shienar,16,14,11,16,19,76
2014-06-04 14:36:45,Human,Warrior,Female,Shienar,19,9,11,17,17,73
2014-06-04 14:34:23,Human,Warrior,Female,Shienar,16,12,13,16,15,72
2014-06-04 14:30:34,Human,Warrior,Female,Shienar,18,12,11,14,19,74
2014-06-03 16:37:10,Human,Warrior,Female,Shienar,19,12,10,12,17,70
2014-06-03 16:33:06,Human,Warrior,Female,Shienar,18,11,10,13,19,71
2014-06-03 16:30:53,Human,Warrior,Female,Shienar,18,12,11,15,18,74
2014-06-03 16:26:26,Human,Warrior,Female,Shienar,19,10,13,11,17,70
2014-06-03 16:24:12,Human,Warrior,Female,Shienar,19,12,9,13,17,70
2014-06-03 16:21:49,Human,Warrior,Female,Shienar,18,12,11,16,19,76
2014-06-03 16:18:52,Human,Warrior,Female,Shienar,15,12,11,16,17,71
2014-06-03 16:15:38,Human,Warrior,Female,Shienar,19,12,13,15,17,76
2014-06-03 16:13:56,Human,Warrior,Female,Shienar,18,14,11,14,17,74
2014-05-14 12:57:17,Human,Warrior,Male,Shienar,18,16,16,11,14,75
2014-05-14 12:48:52,Human,Warrior,Male,Shienar,16,15,14,13,14,72
2014-05-14 12:43:39,Human,Warrior,Male,Shienar,14,14,16,15,15,74
