Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2014-04-17 00:07:54,Human,Warrior,Male,Tear,16,17,13,12,17,75
2014-04-17 00:05:43,Human,Warrior,Male,Tear,18,16,13,14,13,74
2014-04-17 00:02:15,Human,Warrior,Male,Tear,17,16,12,10,16,71
2014-04-16 23:58:16,Human,Warrior,Male,Tear,18,14,12,12,17,73
2014-04-16 23:56:47,Human,Warrior,Male,Tear,17,16,13,9,16,71
2014-04-16 23:54:22,Human,Warrior,Male,Tear,17,11,14,14,18,74
2014-04-16 23:52:27,Human,Warrior,Male,Tear,17,14,12,12,17,72
2014-04-16 23:50:35,Human,Warrior,Male,Tear,17,16,15,12,14,74
2014-04-16 23:47:06,Human,Warrior,Male,Tear,17,15,12,10,18,72
2014-04-16 23:43:15,Human,Warrior,Male,Tear,17,12,16,13,16,74
2014-04-16 23:41:19,Human,Warrior,Male,Tear,17,14,13,14,16,74
2014-04-16 23:39:25,Human,Warrior,Male,Tear,19,14,12,16,17,78
2014-04-16 23:37:24,Human,Warrior,Male,Tear,19,14,14,12,15,74
2014-04-16 23:35:27,Human,Warrior,Male,Tear,19,16,12,12,16,75
2014-04-16 23:32:46,Human,Warrior,Male,Tear,17,14,13,11,17,72
2013-10-05 17:19:47,Human,Warrior,Male,Tear,17,14,13,13,14,71
2013-10-05 17:15:15,Human,Warrior,Male,Tear,18,13,14,13,14,72
