Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-11-12 02:58:06,Seanchan,Hunter,Male,Seandar,15,12,12,17,14,70
2013-11-12 02:54:21,Seanchan,Hunter,Male,Seandar,15,12,12,17,15,71
2013-11-12 02:48:52,Seanchan,Hunter,Male,Seandar,12,16,15,16,16,75
2013-11-12 02:44:03,Seanchan,Hunter,Male,Seandar,15,10,12,18,15,70
2013-11-08 00:36:59,Seanchan,Hunter,Male,Seandar,18,14,11,18,18,79
2013-11-08 00:34:32,Seanchan,Hunter,Male,Seandar,16,12,12,16,15,71
2013-11-08 00:31:45,Seanchan,Hunter,Male,Seandar,16,12,13,14,18,73
2013-02-15 03:32:50,Seanchan,Hunter,Male,Seandar,15,11,12,19,18,75
2013-02-15 03:29:27,Seanchan,Hunter,Male,Seandar,15,12,10,19,19,75
2013-02-15 03:26:55,Seanchan,Hunter,Male,Seandar,16,9,14,16,15,70
2013-02-15 03:23:32,Seanchan,Hunter,Male,Seandar,15,14,12,17,17,75
2013-02-15 03:20:42,Seanchan,Hunter,Male,Seandar,15,14,11,17,15,72
2012-10-03 20:10:00,Seanchan,Hunter,Male,Seandar,19,12,12,19,17,79
2012-10-03 18:01:44,Seanchan,Hunter,Male,Seandar,14,14,12,17,16,73
2012-10-03 17:58:15,Seanchan,Hunter,Male,Seandar,17,12,12,15,14,70
2012-10-03 17:53:55,Seanchan,Hunter,Male,Seandar,19,13,14,15,16,77
2012-10-03 17:51:41,Seanchan,Hunter,Male,Seandar,14,14,13,17,19,77
2012-10-03 17:50:04,Seanchan,Hunter,Male,Seandar,15,11,15,16,15,72
2012-10-03 17:47:20,Seanchan,Hunter,Male,Seandar,19,11,12,15,16,73
2012-10-03 17:45:07,Seanchan,Hunter,Male,Seandar,16,15,13,16,15,75
2012-10-03 17:43:28,Seanchan,Hunter,Male,Seandar,19,12,12,13,17,73
2012-10-03 17:40:35,Seanchan,Hunter,Male,Seandar,12,14,12,16,16,70
2012-10-03 17:37:09,Seanchan,Hunter,Male,Seandar,14,14,12,19,17,76
2012-10-03 17:35:10,Seanchan,Hunter,Male,Seandar,17,11,12,18,15,73
2012-10-03 17:33:36,Seanchan,Hunter,Male,Seandar,16,12,12,15,15,70
2012-10-03 17:31:52,Seanchan,Hunter,Male,Seandar,18,12,14,16,14,74
2012-10-03 17:29:49,Seanchan,Hunter,Male,Seandar,18,11,15,14,15,73
2012-10-03 17:25:48,Seanchan,Hunter,Male,Seandar,16,12,15,15,15,73
2012-10-03 17:23:18,Seanchan,Hunter,Male,Seandar,18,12,12,15,15,72
2012-10-03 17:20:45,Seanchan,Hunter,Male,Seandar,16,9,13,15,17,70
2012-10-03 17:18:50,Seanchan,Hunter,Male,Seandar,16,14,11,15,19,75
2012-10-03 17:16:54,Seanchan,Hunter,Male,Seandar,15,13,13,14,15,70
2012-10-03 17:15:05,Seanchan,Hunter,Male,Seandar,16,13,12,18,16,75
2012-10-03 17:11:22,Seanchan,Hunter,Male,Seandar,18,12,12,17,14,73
2012-10-03 17:09:22,Seanchan,Hunter,Male,Seandar,19,12,12,15,14,72
2012-10-03 17:07:10,Seanchan,Hunter,Male,Seandar,15,13,12,19,16,75
2012-10-03 17:05:37,Seanchan,Hunter,Male,Seandar,16,12,14,17,16,75
2012-10-03 17:03:10,Seanchan,Hunter,Male,Seandar,15,15,15,13,16,74
2012-10-03 16:59:41,Seanchan,Hunter,Male,Seandar,15,14,11,17,19,76
2012-10-03 16:58:09,Seanchan,Hunter,Male,Seandar,17,13,12,15,15,72
2012-10-03 16:56:37,Seanchan,Hunter,Male,Seandar,16,13,12,18,15,74
2012-10-03 16:54:44,Seanchan,Hunter,Male,Seandar,15,14,15,15,15,74
2012-10-03 16:52:26,Seanchan,Hunter,Male,Seandar,19,10,13,15,16,73
2012-10-03 16:50:15,Seanchan,Hunter,Male,Seandar,18,15,12,14,17,76
2012-10-03 16:48:18,Seanchan,Hunter,Male,Seandar,16,12,16,17,15,76
2012-10-03 16:45:47,Seanchan,Hunter,Male,Seandar,19,11,12,12,18,72
2012-10-03 16:42:54,Seanchan,Hunter,Male,Seandar,16,13,13,18,19,79
2012-10-03 16:40:31,Seanchan,Hunter,Male,Seandar,16,14,13,15,15,73
2012-10-03 16:38:08,Seanchan,Hunter,Male,Seandar,16,11,13,15,15,70
2012-10-03 16:36:42,Seanchan,Hunter,Male,Seandar,18,13,13,12,14,70
2012-10-03 16:33:32,Seanchan,Hunter,Male,Seandar,18,13,12,16,14,73
2012-10-03 16:31:04,Seanchan,Hunter,Male,Seandar,18,13,12,15,12,70
2012-10-03 16:28:15,Seanchan,Hunter,Male,Seandar,18,14,13,18,15,78
2012-10-03 16:24:31,Seanchan,Hunter,Male,Seandar,17,12,13,17,15,74
2012-10-03 16:22:49,Seanchan,Hunter,Male,Seandar,16,12,12,17,14,71
2012-10-03 16:21:03,Seanchan,Hunter,Male,Seandar,19,13,12,15,15,74
2012-10-03 16:17:46,Seanchan,Hunter,Male,Seandar,18,14,10,16,15,73
2012-10-03 16:15:28,Seanchan,Hunter,Male,Seandar,15,16,15,14,14,74
2012-10-03 16:13:33,Seanchan,Hunter,Male,Seandar,16,12,12,15,18,73
