Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
,,,,min,13,11,11,15,14,71
,,,,max,19,16,15,19,18,80
,,,,average,14.7,11.9,11.4,15.5,13.8,67.3
2012-10-03 16:12:03,Human,Channeler,Male,Seandar,15,15,11,17,14,72
2012-10-03 16:10:04,Human,Channeler,Male,Seandar,13,16,13,15,16,73
2012-10-03 16:07:07,Human,Channeler,Male,Seandar,19,13,13,17,18,80
2012-10-03 16:05:33,Human,Channeler,Male,Seandar,15,11,15,17,14,72
2012-10-03 16:04:02,Human,Channeler,Male,Seandar,19,14,11,19,15,78
2012-10-03 16:02:11,Human,Channeler,Male,Seandar,18,12,12,19,15,76
2012-10-03 16:00:09,Human,Channeler,Male,Seandar,15,11,15,18,16,75
2012-10-03 15:58:38,Human,Channeler,Male,Seandar,18,15,12,16,15,76
2012-10-03 15:57:17,Human,Channeler,Male,Seandar,15,12,12,17,15,71
