Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
,,,,min,12,5,10,15,15,65
,,,,max,17,10,12,18,17,71
,,,,average,12.75,7.0,9.5,14.62,14.38,58.25
2012-10-01 02:32:16,Human,Rogue,Male,Ramshorned Trolloc,15,5,11,17,17,65
2012-10-01 02:29:21,Human,Rogue,Male,Ramshorned Trolloc,14,9,10,16,17,66
2012-10-01 02:26:42,Human,Rogue,Male,Ramshorned Trolloc,15,7,11,15,17,65
2012-10-01 02:24:22,Human,Rogue,Male,Ramshorned Trolloc,17,10,11,18,15,71
2012-10-01 02:20:08,Human,Rogue,Male,Ramshorned Trolloc,14,8,10,18,17,67
2012-10-01 02:17:27,Human,Rogue,Male,Ramshorned Trolloc,15,8,11,16,17,67
2012-10-01 02:15:31,Human,Rogue,Male,Ramshorned Trolloc,12,9,12,17,15,65
