Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-09-19 19:06:10,Human,Warrior,Male,Tarabon,19,10,11,18,19,77
2013-09-19 19:06:09,Human,Warrior,Male,Tarabon,16,11,11,15,19,72
2013-09-19 19:06:08,Human,Warrior,Male,Tarabon,15,11,10,18,19,73
2013-09-19 19:06:08,Human,Warrior,Male,Tarabon,16,15,11,15,17,74
2013-09-19 19:06:08,Human,Warrior,Male,Tarabon,19,15,10,18,14,76
2013-09-19 19:06:07,Human,Warrior,Male,Tarabon,19,12,11,16,14,72
2013-09-19 19:06:07,Human,Warrior,Male,Tarabon,16,15,15,15,15,76
2013-09-19 19:06:06,Human,Warrior,Male,Tarabon,19,11,11,15,19,75
2013-09-19 19:06:06,Human,Warrior,Male,Tarabon,16,15,11,15,14,71
2013-09-19 19:06:05,Human,Warrior,Male,Tarabon,16,14,10,14,17,71
2013-09-19 19:06:05,Human,Warrior,Male,Tarabon,16,11,12,19,15,73
2013-09-19 19:06:05,Human,Warrior,Male,Tarabon,16,10,13,15,19,73
2013-09-19 19:06:04,Human,Warrior,Male,Tarabon,17,14,13,17,14,75
2013-09-19 19:06:04,Human,Warrior,Male,Tarabon,16,10,13,17,15,71
2013-09-19 19:06:03,Human,Warrior,Male,Tarabon,16,15,14,15,15,75
2013-09-19 19:06:02,Human,Warrior,Male,Tarabon,16,14,11,17,18,76
2013-09-19 19:06:02,Human,Warrior,Male,Tarabon,15,11,14,15,15,70
2013-09-19 19:06:01,Human,Warrior,Male,Tarabon,17,11,11,15,18,72
2013-09-19 19:06:01,Human,Warrior,Male,Tarabon,18,13,11,19,16,77
2013-09-19 19:06:01,Human,Warrior,Male,Tarabon,19,13,10,19,15,76
2013-09-19 19:06:00,Human,Warrior,Male,Tarabon,16,11,11,18,19,75
2013-09-19 19:06:00,Human,Warrior,Male,Tarabon,16,14,15,15,17,77
2013-09-19 19:06:00,Human,Warrior,Male,Tarabon,17,13,10,15,17,72
2013-09-19 19:05:59,Human,Warrior,Male,Tarabon,15,11,14,16,15,71
2013-09-19 19:05:59,Human,Warrior,Male,Tarabon,16,15,11,15,14,71
2013-09-19 19:05:58,Human,Warrior,Male,Tarabon,16,11,13,17,15,72
2013-09-19 19:05:58,Human,Warrior,Male,Tarabon,18,11,13,15,19,76
2013-09-19 19:05:57,Human,Warrior,Male,Tarabon,18,15,14,15,15,77
2013-09-19 19:05:57,Human,Warrior,Male,Tarabon,16,10,14,15,15,70
2013-09-19 19:05:57,Human,Warrior,Male,Tarabon,15,14,11,19,18,77
2013-09-19 19:05:56,Human,Warrior,Male,Tarabon,18,12,14,16,17,77
2013-09-19 19:05:56,Human,Warrior,Male,Tarabon,15,15,13,19,15,77
2013-09-19 19:05:55,Human,Warrior,Male,Tarabon,16,11,15,17,15,74
2013-09-19 19:05:55,Human,Warrior,Male,Tarabon,16,14,10,16,15,71
2013-09-19 19:05:54,Human,Warrior,Male,Tarabon,19,15,11,18,17,80
2013-09-19 19:05:54,Human,Warrior,Male,Tarabon,16,11,11,17,15,70
2013-09-19 19:05:54,Human,Warrior,Male,Tarabon,18,12,11,19,18,78
2013-09-19 19:05:53,Human,Warrior,Male,Tarabon,15,13,11,19,18,76
2013-09-19 19:05:53,Human,Warrior,Male,Tarabon,16,11,11,19,19,76
2013-09-19 19:05:52,Human,Warrior,Male,Tarabon,15,14,14,15,14,72
2013-09-19 19:05:52,Human,Warrior,Male,Tarabon,19,15,10,14,16,74
2013-09-19 19:05:51,Human,Warrior,Male,Tarabon,17,12,12,18,15,74
2013-09-19 19:05:51,Human,Warrior,Male,Tarabon,18,11,12,15,19,75
2013-09-19 19:01:06,Human,Warrior,Male,Tarabon,18,15,12,19,19,83
2013-09-19 19:01:05,Human,Warrior,Male,Tarabon,16,11,11,18,17,73
2013-09-19 19:01:05,Human,Warrior,Male,Tarabon,16,10,14,14,17,71
2013-09-19 19:01:04,Human,Warrior,Male,Tarabon,19,12,11,15,15,72
2013-09-19 19:01:03,Human,Warrior,Male,Tarabon,19,13,10,19,15,76
2013-09-19 19:01:02,Human,Warrior,Male,Tarabon,19,15,11,17,15,77
2013-09-19 19:01:01,Human,Warrior,Male,Tarabon,16,12,11,19,15,73
2013-09-19 19:01:01,Human,Warrior,Male,Tarabon,16,12,10,19,17,74
2013-09-19 19:01:00,Human,Warrior,Male,Tarabon,16,11,11,16,19,73
2013-09-19 19:00:59,Human,Warrior,Male,Tarabon,16,13,11,16,14,70
2013-09-19 19:00:59,Human,Warrior,Male,Tarabon,19,12,13,15,16,75
2013-09-19 19:00:58,Human,Warrior,Male,Tarabon,19,15,14,15,15,78
2013-09-19 19:00:58,Human,Warrior,Male,Tarabon,16,11,14,16,14,71
2013-09-19 19:00:58,Human,Warrior,Male,Tarabon,15,11,15,15,19,75
2013-09-19 19:00:57,Human,Warrior,Male,Tarabon,17,11,15,17,14,74
2013-09-19 19:00:57,Human,Warrior,Male,Tarabon,19,11,11,14,15,70
2013-09-19 19:00:56,Human,Warrior,Male,Tarabon,16,11,11,17,15,70
2013-09-19 19:00:56,Human,Warrior,Male,Tarabon,16,11,14,15,17,73
2013-09-19 19:00:56,Human,Warrior,Male,Tarabon,19,11,11,15,16,72
2013-09-19 19:00:55,Human,Warrior,Male,Tarabon,18,11,12,15,18,74
2013-09-19 19:00:55,Human,Warrior,Male,Tarabon,16,15,14,15,15,75
2013-09-19 19:00:54,Human,Warrior,Male,Tarabon,18,11,11,19,15,74
2013-09-19 19:00:54,Human,Warrior,Male,Tarabon,17,15,11,14,19,76
2013-09-19 19:00:53,Human,Warrior,Male,Tarabon,19,13,11,18,15,76
2013-09-19 19:00:53,Human,Warrior,Male,Tarabon,16,13,14,15,16,74
2013-09-19 19:00:53,Human,Warrior,Male,Tarabon,16,14,11,14,15,70
2013-09-19 19:00:52,Human,Warrior,Male,Tarabon,16,11,11,16,19,73
2013-09-19 19:00:52,Human,Warrior,Male,Tarabon,16,12,11,15,18,72
2013-09-19 17:48:22,Human,Warrior,Male,Tarabon,19,12,11,19,18,79
2013-09-19 17:48:21,Human,Warrior,Male,Tarabon,16,15,12,14,16,73
2013-09-19 17:48:21,Human,Warrior,Male,Tarabon,18,12,11,15,19,75
2013-09-19 17:48:20,Human,Warrior,Male,Tarabon,16,12,15,14,15,72
2013-09-19 17:48:20,Human,Warrior,Male,Tarabon,17,13,11,15,15,71
2013-09-19 17:48:19,Human,Warrior,Male,Tarabon,18,14,13,15,17,77
2013-09-19 17:48:18,Human,Warrior,Male,Tarabon,16,15,10,15,15,71
2013-09-19 17:48:18,Human,Warrior,Male,Tarabon,16,11,11,17,18,73
2013-09-19 17:48:16,Human,Warrior,Male,Tarabon,15,14,14,15,16,74
2013-09-19 17:48:16,Human,Warrior,Male,Tarabon,16,13,11,16,15,71
2013-09-19 17:48:15,Human,Warrior,Male,Tarabon,15,12,14,18,15,74
2013-09-19 17:48:15,Human,Warrior,Male,Tarabon,16,11,14,17,15,73
2013-09-19 17:48:14,Human,Warrior,Male,Tarabon,19,15,11,15,15,75
2013-09-19 17:48:14,Human,Warrior,Male,Tarabon,19,14,11,17,15,76
2013-09-19 17:48:13,Human,Warrior,Male,Tarabon,16,15,14,17,14,76
2013-09-19 17:48:13,Human,Warrior,Male,Tarabon,19,11,12,14,19,75
2013-09-19 17:48:12,Human,Warrior,Male,Tarabon,16,11,13,15,15,70
2013-09-19 17:48:12,Human,Warrior,Male,Tarabon,16,11,13,17,15,72
2013-09-19 17:48:11,Human,Warrior,Male,Tarabon,16,11,11,17,15,70
2013-09-19 17:48:11,Human,Warrior,Male,Tarabon,16,13,15,17,16,77
2013-09-19 17:48:10,Human,Warrior,Male,Tarabon,15,11,12,18,18,74
2013-09-19 17:48:10,Human,Warrior,Male,Tarabon,19,14,15,16,14,78
2013-09-19 17:48:09,Human,Warrior,Male,Tarabon,15,11,10,15,19,70
2013-09-19 17:48:08,Human,Warrior,Male,Tarabon,15,15,11,17,15,73
2013-09-19 17:48:08,Human,Warrior,Male,Tarabon,16,11,14,17,17,75
2013-09-19 17:48:07,Human,Warrior,Male,Tarabon,18,14,11,15,15,73
2013-09-19 17:48:07,Human,Warrior,Male,Tarabon,16,13,11,17,15,72
2013-09-19 17:48:07,Human,Warrior,Male,Tarabon,15,11,11,19,15,71
2013-09-19 17:48:06,Human,Warrior,Male,Tarabon,15,11,13,18,18,75
2013-09-19 17:48:06,Human,Warrior,Male,Tarabon,19,11,11,17,15,73
2013-09-19 17:48:05,Human,Warrior,Male,Tarabon,17,15,11,15,16,74
2013-09-19 17:48:05,Human,Warrior,Male,Tarabon,19,11,13,15,16,74
2013-09-19 17:48:05,Human,Warrior,Male,Tarabon,19,10,14,17,15,75
2013-09-19 17:48:03,Human,Warrior,Male,Tarabon,16,15,13,15,14,73
2013-09-19 17:48:03,Human,Warrior,Male,Tarabon,16,10,11,15,18,70
2013-09-19 17:48:03,Human,Warrior,Male,Tarabon,18,11,10,16,17,72
2013-09-19 17:48:02,Human,Warrior,Male,Tarabon,19,13,12,15,19,78
2013-09-19 17:48:02,Human,Warrior,Male,Tarabon,18,11,14,15,15,73
2013-09-19 17:48:01,Human,Warrior,Male,Tarabon,16,11,11,18,15,71
2013-09-19 17:48:01,Human,Warrior,Male,Tarabon,16,10,11,17,18,72
2013-09-19 17:48:00,Human,Warrior,Male,Tarabon,16,15,10,17,18,76
2013-09-19 17:48:00,Human,Warrior,Male,Tarabon,15,11,13,17,14,70
2013-09-19 17:48:00,Human,Warrior,Male,Tarabon,16,11,14,15,14,70
2013-09-19 17:47:59,Human,Warrior,Male,Tarabon,16,13,12,17,15,73
2013-09-19 17:47:59,Human,Warrior,Male,Tarabon,19,10,11,15,15,70
2013-09-19 17:47:58,Human,Warrior,Male,Tarabon,15,11,11,19,17,73
2013-09-19 17:47:58,Human,Warrior,Male,Tarabon,15,11,14,15,18,73
2013-09-19 17:47:57,Human,Warrior,Male,Tarabon,18,14,12,15,14,73
2013-09-19 17:47:57,Human,Warrior,Male,Tarabon,16,12,11,15,18,72
2013-09-19 17:47:56,Human,Warrior,Male,Tarabon,17,10,11,19,15,72
2013-09-19 17:47:56,Human,Warrior,Male,Tarabon,15,13,11,15,19,73
2013-09-19 17:47:55,Human,Warrior,Male,Tarabon,16,14,15,18,15,78
2013-09-19 17:47:55,Human,Warrior,Male,Tarabon,16,11,10,16,17,70
2013-09-19 17:47:54,Human,Warrior,Male,Tarabon,18,11,10,16,15,70
2013-09-19 17:47:54,Human,Warrior,Male,Tarabon,16,11,14,17,15,73
2013-09-19 17:47:53,Human,Warrior,Male,Tarabon,15,11,11,19,19,75
2013-09-19 17:47:53,Human,Warrior,Male,Tarabon,16,11,10,19,18,74
2013-09-19 17:47:52,Human,Warrior,Male,Tarabon,16,11,11,16,19,73
2013-09-19 17:47:52,Human,Warrior,Male,Tarabon,16,13,15,17,14,75
2013-09-19 17:47:51,Human,Warrior,Male,Tarabon,16,12,11,16,15,70
2013-09-19 17:47:51,Human,Warrior,Male,Tarabon,18,11,11,15,15,70
2013-09-19 17:47:50,Human,Warrior,Male,Tarabon,16,13,11,15,15,70
2013-09-19 17:47:50,Human,Warrior,Male,Tarabon,16,12,11,17,19,75
2013-09-19 17:47:50,Human,Warrior,Male,Tarabon,16,14,11,15,15,71
2013-09-19 17:47:49,Human,Warrior,Male,Tarabon,15,13,14,18,15,75
2013-09-19 17:47:49,Human,Warrior,Male,Tarabon,19,14,10,16,14,73
2013-09-19 17:47:48,Human,Warrior,Male,Tarabon,15,14,11,15,19,74
2013-09-19 17:47:48,Human,Warrior,Male,Tarabon,17,11,15,19,14,76
2013-09-19 17:47:48,Human,Warrior,Male,Tarabon,16,11,15,15,18,75
2013-09-19 17:47:47,Human,Warrior,Male,Tarabon,16,11,11,17,16,71
2013-09-19 17:47:47,Human,Warrior,Male,Tarabon,17,11,11,16,19,74
2013-09-19 17:47:46,Human,Warrior,Male,Tarabon,16,10,11,17,16,70
2013-09-19 17:47:46,Human,Warrior,Male,Tarabon,15,10,11,18,17,71
2013-09-19 17:47:46,Human,Warrior,Male,Tarabon,17,14,14,14,15,74
2013-09-19 17:47:45,Human,Warrior,Male,Tarabon,16,11,13,17,14,71
2013-09-19 17:47:45,Human,Warrior,Male,Tarabon,16,15,11,14,15,71
2013-09-19 17:47:44,Human,Warrior,Male,Tarabon,18,10,14,15,15,72
2013-09-19 17:47:44,Human,Warrior,Male,Tarabon,18,13,15,17,18,81
2013-09-19 17:47:43,Human,Warrior,Male,Tarabon,16,12,11,18,15,72
2013-09-19 17:47:43,Human,Warrior,Male,Tarabon,15,11,12,17,15,70
2013-09-19 17:47:42,Human,Warrior,Male,Tarabon,16,10,15,14,15,70
2013-09-19 17:47:42,Human,Warrior,Male,Tarabon,18,13,11,19,15,76
2013-09-19 17:47:41,Human,Warrior,Male,Tarabon,17,11,12,18,16,74
2013-09-19 17:47:41,Human,Warrior,Male,Tarabon,19,13,11,15,15,73
